"Gene_Name","Gene_ID","Contig","Location","HPRD_ID","HGNC_ID","Unigene_ID","Ensemble_ID","PharmGkB_ID","OMIM_ID","Homologene_ID"
"NKX2-1","7080","NC_000014.8","36985602..36989430; complement","HPRD:02798","11825","94367","ENSG00000136352","-","600635","2488"
"TNFAIP3","7128","NC_000006.11","138188581..138204449","HPRD:01857","11896","211600","ENSG00000118503","-","191163","4582"
"TNXB","7148","NC_000006.11","32008932..32077153; complement","HPRD:02993","11976","42853;485104","ENSG00000168477","-","600985","49589"
"TP53","7157","NC_000017.10","7571720..7590863; complement","HPRD:01859","11998","654481","ENSG00000141510","PA36679","191170","460"
"TRO","7216","NC_000023.10","54947249..54957864","HPRD:02134","12326","633653","ENSG00000067445","-","300132","75113"
"TRPC1","7220","NC_000003.11","142443266..142526730","HPRD:11894","12333","250687","ENSG00000144935","-","602343","2478"
"TTK","7272","NC_000006.11","80714322..80752244","HPRD:04973","12401","169840","ENSG00000112742","-","604092","2489"
"TYMS","7298","NC_000018.9","657604..673499","HPRD:01774","12441","592338","ENSG00000176890","PA359","188350","834"
"UBE2E2","7325","NC_000003.11","23244784..23632296","HPRD:06779","12478","475688;595802","ENSG00000182247","-","602163","77337"
"UCHL1","7345","NC_000004.11","41258898..41270446","HPRD:01877","12513","518731","ENSG00000154277","-","191342","37894"
"VEGFA","7422","NC_000006.11","43737946..43754224","HPRD:01889","12680","73793","ENSG00000112715","PA37302","192240","2534"
"VIM","7431","NC_000010.10","17270258..17279592","HPRD:01899","12692","455493","ENSG00000026025","-","193060","2538"
"WNT7A","7476","NC_000003.11","13860082..13921618; complement","HPRD:03341","12786","72290","ENSG00000154764","-","601570","20969"
"YES1","7525","NC_000018.9","721592..812327; complement","HPRD:01285","12841","194148","ENSG00000176105","-","164880","55900"
"YWHAB","7529","NC_000020.10","43514344..43537161","HPRD:03184","12849","643544","ENSG00000166913","-","601289","20724"
"ZIC1","7545","NC_000003.11","147127181..147134506","HPRD:02718","12872","598590;647962","ENSG00000152977","-","600470","2562"
"ZNF207","7756","NC_000017.10","30677157..30697468","HPRD:04576","12998","500775","ENSG00000010244","-","603428","2581"
"CXCR4","7852","NC_000002.1","136871919..136875725; complement","HPRD:01217","2561","593413","ENSG00000121966","-","162643","20739"
"ST8SIA4","7903","NC_000005.9","100142639..100238987; complement","HPRD:03970","10871","308628","ENSG00000113532","-","602547","4147"
"NCOA3","8202","NC_000020.10","46130601..46285621","HPRD:03570","7670","592142","ENSG00000124151","-","601937","4764"
"SRPX","8406","NC_000023.10","38008588..38080177; complement","HPRD:02175","11309","15154","ENSG00000101955","-","300187","4598"
"LTBP4","8425","NC_000019.9","41099072..41135725","HPRD:05274","6717","466766","ENSG00000090006","PA30480","604710","2645"
"DHX16","8449","NC_000006.11","30620896..30640830; complement","HPRD:04555","2739","485060","ENSG00000204560","PA27205","603405","2658"
"SORBS2","8470","NC_000004.11","186506598..186877870; complement","HPRD:12473","24098","619806;655143","ENSG00000154556","-","0","83295"
"PPM1D","8493","NC_000017.10","58677554..58742036","HPRD:05482","9277","286073","ENSG00000170836","-","605100","31185"
"TMEFF1","8577","NC_000009.11","103235717..103339914","HPRD:04570","11866","598100","ENSG00000241697;ENSG00000251349","-","603421","88695"
"RUVBL1","8607","NC_000003.11","127799800..127842671; complement","HPRD:09143","10474","272822","ENSG00000175792","-","603449","37839"
"PPAP2C","8612","NC_000019.9","281043..291435; complement","HPRD:06180","9230","465506","ENSG00000141934","-","607126","2752"
"MARCO","8685","NC_000002.11","119699745..119752236","HPRD:05337","6895","67726","ENSG00000019169","-","604870","4928"
"HYAL2","8692","NC_000003.11","50355221..50360281; complement","HPRD:04649","5321","76873","ENSG00000068001","-","603551","7776"
"ABCC3","8714","NC_000017.10","48712218..48769063","HPRD:06826","54","463421","ENSG00000108846","PA376","604323","68364"
"ADAM9","8754","NC_000008.10","38854505..38962780","HPRD:04091","216","591852","ENSG00000168615","-","602713","20824"
"TNFRSF10C","8794","NC_000008.10","22960327..22974950","HPRD:04681","11906","655801","ENSG00000173535","-","603613","48244"
"ALDH1A2","8854","NC_000015.9 ","58245627..58357906; complement","HPRD:04733","15472","643455","ENSG00000128918","-","603687","68368"
"SPHK1","8877","NC_000017.10","74380690..74383941","HPRD:04768","11240","68061","ENSG00000176170","-","603730","39748"
"KYNU","8942","NC_000002.11","143635195..143799885","HPRD:08940","6469","470126","ENSG00000115919","-","605197","2925"
"CLDN1","9076","NC_000003.11","190023490..190040235; complement","HPRD:04760","2032","439060","ENSG00000163347","-","603718","9620"
"LDB2","9079","NC_000004.11","16503164..16900424; complement","HPRD:16022","6533","714330","ENSG00000169744","-","603450","989"
"TMSB10","9168","NC_000002.11","85132763..85133799","HPRD:01779","11879","446574","ENSG00000034510","-","188399","0"
"ZBED1","9189","NC_000023.10","2404455..2419008; complement","HPRD:02170","447","131452","ENSG00000214717","PA24753","300178","123965"
"GCNT3","9245","NC_000015.9","36791942..36800170","HPRD:06018","4205","194710","ENSG00000140297","-","606836","20993"
"COPS2","9318","NC_000015.9","49417471..49447854; complement","HPRD:05146","30747","369614","ENSG00000166200","-","604508","3124"
"RASSF2","9770","NC_000020.10","4760669..4804291; complement","HPRD:15218","9883","631504","ENSG00000101265","-","609492","22840"
"IP6K1","9807","NC_000003.11","49761728..49823973; complement","HPRD:07379","18360","386168","ENSG00000176095","-","606991","56602"
"POM121","9883","NC_000007.13","72349936..72418838","HPRD:11448","19702","655217","ENSG00000196313","-","0","70878"
"ATP2C2","9914","NC_000016.9","84402133..84497793","HPRD:13812","29103","6168","ENSG00000064270","-","613082","73463"
"P2RY14","9934","NC_000003.11","150929905..150996230; complement","HPRD:08820","16442","2465","ENSG00000174944","-","610116","15769"
"ARL4A","10124","NC_000007.13","12726481..12730559","HPRD:11987","695","245540;729252","ENSG00000122644","-","604786","4194"
"SPRY2","10253","NC_000013.10","80910111..80915086; complement","HPRD:03916","11270","18676","ENSG00000136158","-","602466","4267"
"RAMP1","10267","NC_000002.11","238768187..238820756","HPRD:05515","9843","471783","ENSG00000132329","-","605153","4275"
"EFS","10278","NC_000014.8","23825611..23834842; complement","HPRD:09932","16898","24587","ENSG00000100842","-","609906","4284"
"DNAJA2","10294","NC_000016.9","46989274..47007625; complement","HPRD:07105","14884","368078","ENSG00000069345","-","611322","21193"
"NDRG1","10397","NC_000008.10","134249414..134309547; complement","HPRD:05586","7679","372914;618002","ENSG00000104419","PA31482","605262","55953"
"NDC80","10403","NC_000018.9","2571510..2616634","HPRD:06277","16909","414407","ENSG00000080986","-","607272","38141"
"OLFM1","10439","NC_000009.11","137967089..138013030","HPRD:09249","17187","522484","ENSG00000130558","-","605366","8612"
"AGR2","10551","NC_000007.13","16832264..16844738; complement","HPRD:05896","328","530009","ENSG00000106541","-","606358","4674"
"SPTLC1","10558","NC_000009.11","94793427..94877690; complement","HPRD:05754","11277","90458","ENSG00000090054","-","605712","4681"
"GNLY","10578","NC_000002.11","85921414..85925875","HPRD:01788","4414","105806","ENSG00000115523","-","188855","117711"
"IGF2BP3","10643","NC_000007.13","23349828..23509995; complement","HPRD:16306","28868","700696","ENSG00000136231","-","608259","4773"
"IGF2BP2","10644","NC_000003.11","185361527..185542827; complement","HPRD:10507","28867","35354","ENSG00000073792","-","608289","4774"
"GADD45G","10912","NC_000009.11","92219927..92221470","HPRD:05383","4097","9701","ENSG00000130222","-","604949","21334"
"ACOT2","10965","NC_000014.8","74035772..74042359","HPRD:10173","18431","446685;699708","ENSG00000119673","-","609972","25661"
"ESM1","11082","NC_000005.9","54273695..54281414; complement","HPRD:03310","3466","129944","ENSG00000164283","-","601521","5107"
"ADAMTS5","11096","NC_000021.8","28290231..28339439; complement","HPRD:05420","221","58324","ENSG00000154736","-","605007","5109"
"EMILIN1","11117","NC_000002.11","27301435..27309271","HPRD:00563","19880","63348","ENSG00000138080","-","130660","5117"
"BTN2A1","11120","NC_000006.11","26458189..26469865","HPRD:12544","1136","159028","ENSG00000112763","-","613590","56017"
"RASSF1","11186","NC_000003.11","50367217..50378367; complement","HPRD:05470","9882","476270","ENSG00000068028","PA34245","605082","10499"
"MRPL3","11222","NC_000003.11","131181045..131221829; complement","HPRD:06175","10379","205163","ENSG00000114686","-","607118","31431"
"INPP5F","22876","NC_000010.10","121485609..121588659","HPRD:11048","17054","369755","ENSG00000198825","-","609389","8962"
"MAPRE1","22919","NC_000020.10","31407699..31438211","HPRD:04379","6890","472437","ENSG00000101367","-","603108","56129"
"SIN3B","23309","NC_000019.9","16940218..16991164","HPRD:09691","19354","13999","ENSG00000127511","-","607777","81810"
"MED13L","23389","NC_000012.11","116396381..116714991; complement","HPRD:10579","22962","603766;715095","ENSG00000123066","-","608771","25256"
"FAM89B","23625","NC_000011.9","65339820..65341669","HPRD:10100","16708","25723","ENSG00000176973","-","0","18749"
"FLRT2","23768","NC_000014.8","85996488..86094270","HPRD:05312","3761","533710;624735;729001","ENSG00000185070","-","604807","8291"
"LMOD1","25802","NC_000001.10","201865584..201915716; complement","HPRD:04093","6647","519075","ENSG00000163431","-","602715","8118"
"SPDEF","25803","NC_000006.11","34445580..34464091; complement","HPRD:12176","17257","485158","ENSG00000124664","-","608144","8231"
"BAMBI","25805","NC_000010.10","28966424..28971868","HPRD:05117","30251","533336","ENSG00000095739","-","604444","8215"
"PARM1","25849","NC_000004.11","75858285..75975325","HPRD:08529","24536","-","ENSG00000169116","-","0","41036"
"C20orf32","25927","NC_000002.11","68511303..68547183; complement","HPRD:12813","24546","212885","ENSG00000119865","-","0","9153"
"EGFL6","25975","NC_000023.10","13587694..13651694","HPRD:02212","3235","12844","ENSG00000198759","-","300239","9166"
"KIF26A","26153","NC_000014.8","104605060..104647235","-","20226","134970","ENSG00000066735","-","613231","18970"
"B3GAT3","26229","NC_000011.9","62382768..62389448; complement","HPRD:07564","923","502759","ENSG00000149541","-","606374","56554"
"NGFRAP1","27018","NC_000023.10","102631268..102633001","HPRD:02291","13388","448588","ENSG00000166681","-","300361","7642"
"MLH3","27030","NC_000014.8","75480467..75518235; complement","HPRD:05094","7128","436650","ENSG00000119684","-","604395","91153"
"DKK4","27121","NC_000008.10","42231586..42234674; complement","HPRD:05660","2894","159311","ENSG00000104371","-","605417","8680"
"HTRA2","27429","NC_000002.11","74756532..74760683","HPRD:05919","14348","469045","ENSG00000115317","PA33836","606441","113300"
"ATAD2","29028","NC_000008.10","124332090..124408705; complement","HPRD:10678","30123","370834","ENSG00000156802","-","611941","6044"
"PYCARD","29108","NC_000016.9","31212807..31214251; complement","HPRD:06020","16608","499094","ENSG00000103490","-","606838","8307"
"ERO1L","30001","NC_000014.8","53108605..53162419; complement","HPRD:13278","13280","592304","ENSG00000197930","-","0","49392"
"EHD2","30846","NC_000019.9","48216601..48246391","HPRD:10434","3243","631554","ENSG00000024422","-","605890","22825"
"CDR2L","30850","NC_000017.10","72983727..73001895","HPRD:11041","29999","78358","ENSG00000109089","-","0","35390"
"NSDHL","50814","NC_000023.10","151999511..152037907","HPRD:02229","13398","57698","ENSG00000147383","-","300275","5951"
"VPS36","51028","NC_000013.10","52986737..53024763; complement","HPRD:12620","20312","109520","ENSG00000136100","-","610903","9374"
"PPPDE1","51029","NC_000001.10","244816352..244872335","HPRD:15153","24264","498317","ENSG00000121644","-","0","56741"
"GLTP","51228","NC_000012.11","110288748..110318293; complement","HPRD:16409","24867","381256","ENSG00000139433","-","608949","41133"
"CYP39A1","51302","NC_000006.11","46517445..46620523; complement","HPRD:07067","17449","387367","ENSG00000146233","-","605994","9580"
"VGLL1","51442","NC_000023.10","135614311..135638966","HPRD:06751","20985","496843","ENSG00000102243","-","300583","9445"
"ATP8A2","51761","NC_000013.10","25946209..26595420","HPRD:05795","13533","444957","ENSG00000132932","-","605870","4443"
"IL20RA","53832","NC_000006.11","137321108..137366298; complement","HPRD:05729","6003","445868","ENSG00000016402","-","605620","8685"
"POLE3","54107","NC_000009.11","116169515..116173029; complement","HPRD:06274","13546","108112","ENSG00000148229","-","607267","9694"
"UGT1A1","54658","NC_000002.11","234668919..234681945","HPRD:08933","12530","554822","ENSG00000241635","PA420","191740","83117"
"EPDR1","54749","NC_000007.13","37960163..37991543","HPRD:16865","17572","563491","ENSG00000086289","-","0","9714"
"FAM20A","54757","NC_000017.10","66531257..66597095; complement","HPRD:13296","23015","268874","ENSG00000108950","-","611062","9719"
"FAM46C","54855","NC_000001.10","118148604..118171011","HPRD:13312","24712","356216","ENSG00000183508","-","613952","56783"
"PID1","55022","NC_000002.11","229888689..230136057; complement","HPRD:07944","26084","-","ENSG00000153823","-","612930","9924"
"SLC47A1","55244","NC_000017.10","19437167..19482346","HPRD:07703","25588","232054","ENSG00000142494","-","609832","34364"
"FBXW7","55294","NC_000004.11","153242410..153456172; complement","HPRD:05888","16712","561245","ENSG00000109670","PA28054","606278","117451"
"MEG3","55384","NC_000014.8","101292445..101327363","-","14575","654863;728801;728839","-","-","605636","0"
"ENOSF1","55556","NC_000018.9","672543..712662; complement","-","30365","369762;658550","ENSG00000132199","-","607427","9703"
"DEPDC1","55635","NC_000001.10","68939835..68962799; complement","HPRD:10879","22949","445098","ENSG00000024526","-","612002","9834"
"MMP26","56547","NC_000011.9","5009424..5013659","HPRD:05683","14249","204732","ENSG00000167346","-","605470","49684"
"NPDC1","56654","NC_000009.11","139933909..139940676; complement","HPRD:12048","7899","719906","ENSG00000107281","PA31701","605798","32050"
"TMEM9B","56674","NC_000011.9","8968840..8985989; complement","HPRD:12603","1168","501853","ENSG00000175348","-","0","23191"
"TCEAL7","56849","NC_000023.10","102585114..102587251","HPRD:06641","28336","21861","ENSG00000182916","-","300771","87220"
"SMYD2","56950","NC_000001.10","214454565..214510477","HPRD:15406","20982","66170","ENSG00000143499","-","610663","32466"
"SHD","56961","NC_000019.9","4278598..4290720","HPRD:15337","30633","7423","ENSG00000105251","-","610481","7537"
"NUP107","57122","NC_000012.11","69080731..69136473","HPRD:06356","29914","524574","ENSG00000111581","-","607617","5555"
"CD248","57124","NC_000011.9","66081958..66084515; complement","HPRD:06933","18219","195727","ENSG00000174807","-","606064","10699"
"ATP8B2","57198","NC_000001.10","154298036..154323780","HPRD:05794","13534","435700","ENSG00000143515","-","605867","23226"
"SLC24A3","57419","NC_000020.10","19193290..19703541","HPRD:15352","10977","654790","ENSG00000185052","-","609839","41390"
"KIAA1324","57535","NC_000001.10","109656585..109749403","HPRD:13850","29618","708190","ENSG00000116299","-","611298","23249"
"TSHZ3","57616","NC_000019.9","31765851..31840190; complement","HPRD:18351","30700","278436","ENSG00000121297","-","0","10835"
"LRCH2","57631","NC_000023.10","114345179..114468635; complement","HPRD:06602","29292","65366","ENSG00000130224","-","0","32491"
"LRRN1","57633","NC_000003.11","3841121..3889387","HPRD:14320","20980","163244","ENSG00000175928","-","0","32036"
"RNF213","57674","NC_000017.10","78234667..78370086","HPRD:10716","14539","195642","ENSG00000173821","-","613768","45439"
"USP37","57695","NC_000002.11","219314974..219433084; complement","HPRD:07506","20063","166068","ENSG00000135913","-","0","10858"
"C19ORF33","64073","NC_000019.9","38794804..38795646","HPRD:12706","16668","631544","ENSG00000167644","-","0","0"
"XYLT1","64131","NC_000016.9","17196181..17564738; complement","HPRD:12168","15516","22907;610023","ENSG00000103489","-","608124","32534"
"MS4A6","64231","NC_000011.9","59939080..59950674; complement","HPRD:09414","13375","523702","ENSG00000110077","-","606548","83320"
"CDCP1","64866","NC_000003.11","45123769..45187914; complement","HPRD:16696","24357","476093","ENSG00000163814","-","611735","11276"
"COLEC11","78989","NC_000002.11","3642637..3692048","HPRD:10847","17213","32603","ENSG00000118004","-","612502","11423"
"CLMP","79827","NC_000011.9","122943020..123066007; complement","HPRD:16513","24039","591949","ENSG00000166250","-","611693","11705"
"TMC5","79838","NC_000016.9","19422057..19510435","HPRD:15516","22999","115838","ENSG00000103534","-","0","11713"
"ASRGL1","80150","NC_000011.9","62104774..62160887","HPRD:07006","16448","535326","ENSG00000162174","-","609212","11825"
"CEP290","80184","NC_000019.9","88442790..88535993; complement","HPRD:10856","29021","150444","ENSG00000198707","-","610142","77213"
"HKDC1","80201","NC_000010.10","70980059..71027315","HPRD:08006","23302","522988","ENSG00000156510","-","0","56070"
"ITPKC","80271","NC_000019.9","41223008..41246765","HPRD:09400","14897","515415","ENSG00000086544","-","606476","11868"
"ADAM3","80332","NC_000020.10","3648620..3662738; complement","HPRD:06173","15478","173716","ENSG00000149451","PA24526","607114","11881"
"SLC38A1","81539","NC_000012.11","46576838..46663208; complement","HPRD:12245","13447","533770","ENSG00000111371","-","608490","12745"
"VOPP1","81552","NC_000007.13","55538306..55640200; complement","HPRD:08526","34518","488307","ENSG00000154978","-","611915","12772"
"GLT8D2","83468","NC_000012.11","104382765..104443915; complement","HPRD:14260","24890","631650","ENSG00000120820","-","0","41826"
"EPPK1","83481","NC_000008.10","144935822..144947434; complement","HPRD:06500","15577","200412","-","-","607553","20006"
"ESPN","83715","NC_000001.10","6484848..6521004","HPRD:06962","13281","-","ENSG00000187017","-","606351","23164"
"CRISPLD2","83716","NC_000016.9","84853587..84943116","HPRD:13186","25248","513779;617091","ENSG00000103196","-","612434","41792"
"TMEM101","84336","NC_000017.10","42088556..42092345; complement","HPRD:14623","28653","514211","ENSG00000091947","-","0","12649"
"JPH4","84502","NC_000014.8","24037244..24048009; complement","HPRD:17170","20156","597841","ENSG00000092051","-","0","13034"
"LOXL3","84695","NC_000002.11","74759946..74781062; complement","HPRD:06200","13869","727659","ENSG00000115318","-","607163","56591"
"MGC16121","84848","NC_000023.10","133677407..133680660; complement","HPRD:06638","0","416379","-","-","0","0"
"TTC5","91875","NC_000014.8","20757290..20774153; complemen","HPRD:15584","19274","98553","ENSG00000136319","-","0","14397"
"TMEM132C","92293","NC_000012.11","128751948..129192460","-","25436","49599","ENSG00000181234","-","0","76567"
"HTRA3","94031","NC_000004.11","8271492..8308834","HPRD:08821","30406","479119","ENSG00000170801","-","608785","12697"
"C1QTNF3","114899","NC_000005.9","34017963..34043317; complement","HPRD:12716","14326","171929","ENSG00000082196","-","612045","12788"
"FBXO32","114907","NC_000008.10","124515358..124553446; complement","HPRD:05966","16731","403933","ENSG00000156804","-","606604","12182"
"CTHRC1","115908","NC_000008.10","104383786..104395217","HPRD:16772","18831","405614","ENSG00000164932","-","610635","16320"
"OSR2","116039","NC_000008.10","99956631..99964328","HPRD:17806","15830","253247","ENSG00000164920","-","611297","14200"
"ZMYND19","116225","NC_000009.11","140476531..140484937; complement","HPRD:15743","21146","128096","ENSG00000165724","-","611424","12093"
"RBP7","116362","NC_000001.10","10057255..10076078","HPRD:16355","30316","422688","ENSG00000162444","-","608604","32521"
"TWIST2","117581","NC_000002.11","239756673..239795893","HPRD:09616","20670","422585","ENSG00000233608","-","607556","40594"
"PLEKHH2","130271","NC_000002.11","43864439..43995126","HPRD:15149","30506","164162","ENSG00000152527","-","612723","35317"
"MUM1L1","139221","NC_000023.10","105412298..105452949","HPRD:06555","26583","592221","ENSG00000157502","-","0","51851"
"FAM65C","140876","NC_000020.10","49202645..49253426; complement","HPRD:12757","16168","372578","ENSG00000042062","-","0","15438"
"SESN3","143686","NC_000011.9","94906133..94964246; complement","HPRD:09682","23060","659934","ENSG00000149212","-","607768","14386"
"CMTM8","152189","NC_000003.11","32280171..32411813","HPRD:06989","19179","154986",":ENSG00000170293","-","607891","12345"
"DAB2IP","153090","NC_000009.11","124329399..124547809","HPRD:09903","17294","522378","ENSG00000136848","-","609205","13058"
"KANK4","163782","NC_000001.10","62701837..62785083; complement","HPRD:14109","27263","283398","ENSG00000132854","-","0","18244"
"RASSF6","166824","NC_000004.11","74438862..74486340; complement","HPRD:15220","20796","590920","ENSG00000169435","-","612620","37125"
"CDC20B","166979","NC_000005.9","54408799..54469005; complement","HPRD:13428","24222","669184","ENSG00000164287","-","0","65056"
"RASGEF1A","221002","NC_000010.10","43689984..43701575; complement","HPRD:15211","24246","125293","ENSG00000198915","-","0","17067"
"CASC2","255082","NC_000010.10","119806332..119969665","HPRD:12266","22933","89387","-","-","608598","0"
"CYP4X1","260293","NC_000001.10","47489240..47516423","HPRD:13110","20244","439760","ENSG00000186377","-","0","75853"
"GPR133","283383","NC_000012.11","131438452..131626010","HPRD:17061","19893","719239","ENSG00000111452","-","613639","34616"
"CXCL17","284340","NC_000019.9","42932695..42947136; complement","HPRD:18264","19232","445586","ENSG00000189377","-","611387","18875"
"EFHA2","286097","NC_000008.10","16884747..16980148","HPRD:13264","27820","403594","ENSG00000155970","-","610633","15058"
"SCARA5","286133","NC_000008.10","27727736..27850198; complement","HPRD:11356","28701","591833","ENSG00000168079","-","611306","12556"
"BEX5","340542","NC_000023.10","101408679..101410986; complement","HPRD:18484","27990","47209","ENSG00000184515","-","300693","53470"
"ATP9B","374868","NC_000018.9","76829397..77138283","HPRD:16528","13541","465475","ENSG00000166377","-","0","21915"
"VGLL3","389136","NC_000003.11","86987123..87040257; complement","HPRD:13431","24327","606507","ENSG00000206538","-","609980","53442"
"CCR2","729230","NC_000003.11","46395235..46402413","-","1603","705362;511794","ENSG00000121807","-","601267","537"
"CD24","100133941","NC_000024.9","21152526..21154705; complement","-","1645","644105;721443","-","PA26202","600074","122183"
