"Gene_Name","Gene_ID","Protein_ID","SwissProt_ID","PDB_ID","Method","Resolution","Chain","Position"
"DPP6","1804","NP_570629.2","P42658","1XFD","X-ray","3.00","A/B/C/D","127-849"
"ECM2","1842","NP_001184224.1","O94769","-","-","0.00","-","-"
"ECM2","1842","NP_001184225.1","O94769","-","-","0.00","-","-"
"ECM2","1842","NP_001384.1","O94769","-","-","0.00","-","-"
"EDNRB","1910","NP_001116131.1","P24530","-","-","0.00","-","-"
"EDNRB","1910","NP_000106.1","P24530","-","-","0.00","-","-"
"EDNRB","1910","NP_001188326.1","P24530","-","-","0.00","-","-"
"EDNRB","1910","NP_003982.1","P24530","-","-","0.00","-","-"
"EFEMP1","2202","-","-","-","-","0.00","-","-"
"EFHA2","286097","NP_859074.1","Q86XE3","-","-","0.00","-","-"
"EFNB2","1948","NP_004084.1","P52799","2HLE","X-ray","2.05","B","28-165"
"EFNB2","1948","NP_004084.1","P52799","2I85","NMR","0.00","A","25-166"
"EFNB2","1948","NP_004084.1","P52799","2VSK","X-ray","3.30","B/D","28-165"
"EFNB2","1948","NP_004084.1","P52799","2VSM","X-ray","1.80","B","28-165"
"EFNB2","1948","NP_004084.1","P52799","2WO2","X-ray","2.45","B","27-167"
"EFNB2","1948","NP_004084.1","P52799","3GXU","X-ray","2.50","B","27-169"
"EFS","10278","NP_005855.1","O43281","-","-","0.00","-","-"
"EFS","10278","NP_115835.1","O43281","-","-","0.00","-","-"
"EGF","1950","NP_001171601.1","-","-","-","0.00","-","-"
"EGF","1950","NP_001171602.1","-","-","-","0.00","-","-"
"EGF","1950","NP_001954.2","P01133","1IVO","X-ray","3.30","C/D","971-1023"
"EGF","1950","NP_001954.2","P01133","1JL9","X-ray","3.00","A/B","971-1021"
"EGF","1950","NP_001954.2","P01133","1NQL","X-ray","2.80","B","971-1023"
"EGF","1950","NP_001954.2","P01133","1P9J","NMR","0.00","A","974-1022"
"EGFL6","25975","NP_001161362.1","Q8IUX8","-","-","0.00","-","-"
"EGFL6","25975","NP_056322.2","Q8IUX8","-","-","0.00","-","-"
"EGFR","1956","NP_005219.2","P00533","1DNQ","model","0.00","A","25-336"
"EGFR","1956","NP_005219.2","P00533","1DNR","model","0.00","A","337-645"
"EGFR","1956","NP_005219.2","P00533","1IVO","X-ray","3.30","A/B","25-646"
"EGFR","1956","NP_005219.2","P00533","1M14","X-ray","2.60","A","695-1022"
"EGFR","1956","NP_005219.2","P00533","1M17","X-ray","2.60","A","695-1022"
"EGFR","1956","NP_005219.2","P00533","1MOX","X-ray","2.50","A/B","25-525"
"EGFR","1956","NP_005219.2","P00533","1NQL","X-ray","2.80","A","25-642"
"EGFR","1956","NP_005219.2","P00533","1XKK","X-ray","2.40","A","695-1022"
"EGFR","1956","NP_005219.2","P00533","1YY9","X-ray","2.60","A","25-642"
"EGFR","1956","NP_005219.2","P00533","1Z9I","NMR","0.00","A","669-721"
"EGFR","1956","NP_005219.2","P00533","2EB2","X-ray","2.50","A","695-1022"
"EGFR","1956","NP_005219.2","P00533","2EB3","X-ray","2.84","A","695-1022"
"EGFR","1956","NP_005219.2","P00533","2EXP","model","0.00","A","311-326"
"EGFR","1956","NP_005219.2","P00533","2EXQ","model","0.00","A","27-536"
"EGFR","1956","NP_005219.2","P00533","2GS2","X-ray","2.80","A","696-1022"
"EGFR","1956","NP_005219.2","P00533","2GS6","X-ray","2.60","A","696-1022"
"EGFR","1956","NP_005219.2","P00533","2GS7","X-ray","2.60","A/B","696-1022"
"EGFR","1956","NP_005219.2","P00533","2ITN","X-ray","2.47","A","696-1019"
"EGFR","1956","NP_005219.2","P00533","2ITO","X-ray","3.25","A","696-1022"
"EGFR","1956","NP_005219.2","P00533","2ITP","X-ray","2.74","A","696-1022"
"EGFR","1956","NP_005219.2","P00533","2ITQ","X-ray","2.68","A","696-1022"
"EGFR","1956","NP_005219.2","P00533","2ITT","X-ray","2.73","A","696-1022"
"EGFR","1956","NP_005219.2","P00533","2ITU","X-ray","2.80","A","696-1022"
"EGFR","1956","NP_005219.2","P00533","2ITV","X-ray","2.47","A","696-1022"
"EGFR","1956","NP_005219.2","P00533","2ITW","X-ray","2.88","A","696-1022"
"EGFR","1956","NP_005219.2","P00533","2ITX","X-ray","2.98","A","696-1022"
"EGFR","1956","NP_005219.2","P00533","2ITY","X-ray","3.42","A","696-1022"
"EGFR","1956","NP_005219.2","P00533","2ITZ","X-ray","2.72","A","696-1022"
"EGFR","1956","NP_005219.2","P00533","2J5E","X-ray","3.10","A","696-1022"
"EGFR","1956","NP_005219.2","P00533","2J5F","X-ray","3.00","A","696-1022"
"EGFR","1956","NP_005219.2","P00533","2J6M","X-ray","3.10","A","696-1022"
"EGFR","1956","NP_005219.2","P00533","2JIT","X-ray","3.10","A/B","696-1022"
"EGFR","1956","NP_005219.2","P00533","2JIU","X-ray","3.05","A/B","695-1022"
"EGFR","1956","NP_005219.2","P00533","2JIV","X-ray","3.50","A/B","695-1022"
"EGFR","1956","NP_005219.2","P00533","2KS1","NMR","0.00","B","634-677"
"EGFR","1956","NP_005219.2","P00533","2RF9","X-ray","3.50","A/B","696-1022"
"EGFR","1956","NP_005219.2","P00533","2RFD","X-ray","3.60","A/B","702-1022"
"EGFR","1956","NP_005219.2","P00533","2RFE","X-ray","2.90","A/B/C/D","702-1022"
"EGFR","1956","NP_005219.2","P00533","2RGP","X-ray","2.00","A","702-1016"
"EGFR","1956","NP_005219.2","P00533","3B2U","X-ray","2.58","A/B/E/I/M/P/S/V","335-538"
"EGFR","1956","NP_005219.2","P00533","3B2V","X-ray","3.30","A","25-642"
"EGFR","1956","NP_005219.2","P00533","3BEL","X-ray","2.30","A","702-1016"
"EGFR","1956","NP_005219.2","P00533","3BUO","X-ray","2.60","A/C","1063-1075"
"EGFR","1956","NP_005219.2","P00533","3C09","X-ray","3.20","A/D","335-538"
"EGFR","1956","NP_005219.2","P00533","3G5V","X-ray","2.00","C","311-326"
"EGFR","1956","NP_005219.2","P00533","3G5Y","X-ray","1.59","E","311-326"
"EGFR","1956","NP_005219.2","P00533","3GOP","X-ray","2.80","A","669-1022"
"EGFR","1956","NP_005219.2","P00533","3GT8","X-ray","2.96","A/B/C/D","696-1022"
"EGFR","1956","NP_005219.2","P00533","3IKA","X-ray","2.90","A/B","694-1022"
"EGFR","1956","NP_005219.2","P00533","3NJP","X-ray","3.30","A/B","25-638"
"EGFR","1956","NP_005219.2","P00533","3OB2","X-ray","2.10","A","1063-1074"
"EGFR","1956","NP_005219.2","P00533","3OP0","X-ray","2.52","C/D","1066-1076"
"EGFR","1956","NP_005219.2","P00533","3PFV","X-ray","2.27","C/D","1066-1076"
"EGFR","1956","NP_005219.2","P00533","1DNQ","model","0.00","A","25-336"
"EGFR","1956","NP_005219.2","P00533","1DNR","model","0.00","A","337-645"
"EGFR","1956","NP_005219.2","P00533","1IVO","X-ray","3.30","A/B","25-646"
"EGFR","1956","NP_005219.2","P00533","1M14","X-ray","2.60","A","695-1022"
"EGFR","1956","NP_005219.2","P00533","1M17","X-ray","2.60","A","695-1022"
"EGFR","1956","NP_005219.2","P00533","1MOX","X-ray","2.50","A/B","25-525"
"EGFR","1956","NP_005219.2","P00533","1NQL","X-ray","2.80","A","25-642"
"EGFR","1956","NP_005219.2","P00533","1XKK","X-ray","2.40","A","695-1022"
"EGFR","1956","NP_005219.2","P00533","1YY9","X-ray","2.60","A","25-642"
"EGFR","1956","NP_005219.2","P00533","1Z9I","NMR","0.00","A","669-721"
"EGFR","1956","NP_005219.2","P00533","2EB2","X-ray","2.50","A","695-1022"
"EGFR","1956","NP_005219.2","P00533","2EB3","X-ray","2.84","A","695-1022"
"EGFR","1956","NP_005219.2","P00533","2EXP","model","0.00","A","311-326"
"EGFR","1956","NP_005219.2","P00533","2EXQ","model","0.00","A","27-536"
"EGFR","1956","NP_005219.2","P00533","2GS2","X-ray","2.80","A","696-1022"
"EGFR","1956","NP_005219.2","P00533","2GS6","X-ray","2.60","A","696-1022"
"EGFR","1956","NP_005219.2","P00533","2GS7","X-ray","2.60","A/B","696-1022"
"EGFR","1956","NP_005219.2","P00533","2ITN","X-ray","2.47","A","696-1019"
"EGFR","1956","NP_005219.2","P00533","2ITO","X-ray","3.25","A","696-1022"
"EGFR","1956","NP_005219.2","P00533","2ITP","X-ray","2.74","A","696-1022"
"EGFR","1956","NP_005219.2","P00533","2ITQ","X-ray","2.68","A","696-1022"
"EGFR","1956","NP_005219.2","P00533","2ITT","X-ray","2.73","A","696-1022"
"EGFR","1956","NP_005219.2","P00533","2ITU","X-ray","2.80","A","696-1022"
"EGFR","1956","NP_005219.2","P00533","2ITV","X-ray","2.47","A","696-1022"
"EGFR","1956","NP_005219.2","P00533","2ITW","X-ray","2.88","A","696-1022"
"EGFR","1956","NP_005219.2","P00533","2ITX","X-ray","2.98","A","696-1022"
"EGFR","1956","NP_005219.2","P00533","2ITY","X-ray","3.42","A","696-1022"
"EGFR","1956","NP_005219.2","P00533","2ITZ","X-ray","2.72","A","696-1022"
"EGFR","1956","NP_005219.2","P00533","2J5E","X-ray","3.10","A","696-1022"
"EGFR","1956","NP_005219.2","P00533","2J5F","X-ray","3.00","A","696-1022"
"EGFR","1956","NP_005219.2","P00533","2J6M","X-ray","3.10","A","696-1022"
"EGFR","1956","NP_005219.2","P00533","2JIT","X-ray","3.10","A/B","696-1022"
"EGFR","1956","NP_005219.2","P00533","2JIU","X-ray","3.05","A/B","695-1022"
"EGFR","1956","NP_005219.2","P00533","2JIV","X-ray","3.50","A/B","695-1022"
"EGFR","1956","NP_005219.2","P00533","2KS1","NMR","0.00","B","634-677"
"EGFR","1956","NP_005219.2","P00533","2RF9","X-ray","3.50","A/B","696-1022"
"EGFR","1956","NP_005219.2","P00533","2RFD","X-ray","3.60","A/B","702-1022"
"EGFR","1956","NP_005219.2","P00533","2RFE","X-ray","2.90","A/B/C/D","702-1022"
"EGFR","1956","NP_005219.2","P00533","2RGP","X-ray","2.00","A","702-1016"
"EGFR","1956","NP_005219.2","P00533","3B2U","X-ray","2.58","A/B/E/I/M/P/S/V","335-538"
"EGFR","1956","NP_005219.2","P00533","3B2V","X-ray","3.30","A","25-642"
"EGFR","1956","NP_005219.2","P00533","3BEL","X-ray","2.30","A","702-1016"
"EGFR","1956","NP_005219.2","P00533","3BUO","X-ray","2.60","A/C","1063-1075"
"EGFR","1956","NP_005219.2","P00533","3C09","X-ray","3.20","A/D","335-538"
"EGFR","1956","NP_005219.2","P00533","3G5V","X-ray","2.00","C","311-326"
"EGFR","1956","NP_005219.2","P00533","3G5Y","X-ray","1.59","E","311-326"
"EGFR","1956","NP_005219.2","P00533","3GOP","X-ray","2.80","A","669-1022"
"EGFR","1956","NP_005219.2","P00533","3GT8","X-ray","2.96","A/B/C/D","696-1022"
"EGFR","1956","NP_005219.2","P00533","3IKA","X-ray","2.90","A/B","694-1022"
"EGFR","1956","NP_005219.2","P00533","3NJP","X-ray","3.30","A/B","25-638"
"EGFR","1956","NP_005219.2","P00533","3OB2","X-ray","2.10","A","1063-1074"
"EGFR","1956","NP_005219.2","P00533","3OP0","X-ray","2.52","C/D","1066-1076"
"EGFR","1956","NP_005219.2","P00533","3PFV","X-ray","2.27","C/D","1066-1076"
"EGFR","1956","NP_958440.1","P00533","1DNQ","model","0.00","A","25-336"
"EGFR","1956","NP_958440.1","P00533","1DNR","model","0.00","A","337-645"
"EGFR","1956","NP_958440.1","P00533","1IVO","X-ray","3.30","A/B","25-646"
"EGFR","1956","NP_958440.1","P00533","1M14","X-ray","2.60","A","695-1022"
"EGFR","1956","NP_958440.1","P00533","1M17","X-ray","2.60","A","695-1022"
"EGFR","1956","NP_958440.1","P00533","1MOX","X-ray","2.50","A/B","25-525"
"EGFR","1956","NP_958440.1","P00533","1NQL","X-ray","2.80","A","25-642"
"EGFR","1956","NP_958440.1","P00533","1XKK","X-ray","2.40","A","695-1022"
"EGFR","1956","NP_958440.1","P00533","1YY9","X-ray","2.60","A","25-642"
"EGFR","1956","NP_958440.1","P00533","1Z9I","NMR","0.00","A","669-721"
"EGFR","1956","NP_958440.1","P00533","2EB2","X-ray","2.50","A","695-1022"
"EGFR","1956","NP_958440.1","P00533","2EB3","X-ray","2.84","A","695-1022"
"EGFR","1956","NP_958440.1","P00533","2EXP","model","0.00","A","311-326"
"EGFR","1956","NP_958440.1","P00533","2EXQ","model","0.00","A","27-536"
"EGFR","1956","NP_958440.1","P00533","2GS2","X-ray","2.80","A","696-1022"
"EGFR","1956","NP_958440.1","P00533","2GS6","X-ray","2.60","A","696-1022"
"EGFR","1956","NP_958440.1","P00533","2GS7","X-ray","2.60","A/B","696-1022"
"EGFR","1956","NP_958440.1","P00533","2ITN","X-ray","2.47","A","696-1019"
"EGFR","1956","NP_958440.1","P00533","2ITO","X-ray","3.25","A","696-1022"
"EGFR","1956","NP_958440.1","P00533","2ITP","X-ray","2.74","A","696-1022"
"EGFR","1956","NP_958440.1","P00533","2ITQ","X-ray","2.68","A","696-1022"
"EGFR","1956","NP_958440.1","P00533","2ITT","X-ray","2.73","A","696-1022"
"EGFR","1956","NP_958440.1","P00533","2ITU","X-ray","2.80","A","696-1022"
"EGFR","1956","NP_958440.1","P00533","2ITV","X-ray","2.47","A","696-1022"
"EGFR","1956","NP_958440.1","P00533","2ITW","X-ray","2.88","A","696-1022"
"EGFR","1956","NP_958440.1","P00533","2ITX","X-ray","2.98","A","696-1022"
"EGFR","1956","NP_958440.1","P00533","2ITY","X-ray","3.42","A","696-1022"
"EGFR","1956","NP_958440.1","P00533","2ITZ","X-ray","2.72","A","696-1022"
"EGFR","1956","NP_958440.1","P00533","2J5E","X-ray","3.10","A","696-1022"
"EGFR","1956","NP_958440.1","P00533","2J5F","X-ray","3.00","A","696-1022"
"EGFR","1956","NP_958440.1","P00533","2J6M","X-ray","3.10","A","696-1022"
"EGFR","1956","NP_958440.1","P00533","2JIT","X-ray","3.10","A/B","696-1022"
"EGFR","1956","NP_958440.1","P00533","2JIU","X-ray","3.05","A/B","695-1022"
"EGFR","1956","NP_958440.1","P00533","2JIV","X-ray","3.50","A/B","695-1022"
"EGFR","1956","NP_958440.1","P00533","2KS1","NMR","0.00","B","634-677"
"EGFR","1956","NP_958440.1","P00533","2RF9","X-ray","3.50","A/B","696-1022"
"EGFR","1956","NP_958440.1","P00533","2RFD","X-ray","3.60","A/B","702-1022"
"EGFR","1956","NP_958440.1","P00533","2RFE","X-ray","2.90","A/B/C/D","702-1022"
"EGFR","1956","NP_958440.1","P00533","2RGP","X-ray","2.00","A","702-1016"
"EGFR","1956","NP_958440.1","P00533","3B2U","X-ray","2.58","A/B/E/I/M/P/S/V","335-538"
"EGFR","1956","NP_958440.1","P00533","3B2V","X-ray","3.30","A","25-642"
"EGFR","1956","NP_958440.1","P00533","3BEL","X-ray","2.30","A","702-1016"
"EGFR","1956","NP_958440.1","P00533","3BUO","X-ray","2.60","A/C","1063-1075"
"EGFR","1956","NP_958440.1","P00533","3C09","X-ray","3.20","A/D","335-538"
"EGFR","1956","NP_958440.1","P00533","3G5V","X-ray","2.00","C","311-326"
"EGFR","1956","NP_958440.1","P00533","3G5Y","X-ray","1.59","E","311-326"
"EGFR","1956","NP_958440.1","P00533","3GOP","X-ray","2.80","A","669-1022"
"EGFR","1956","NP_958440.1","P00533","3GT8","X-ray","2.96","A/B/C/D","696-1022"
"EGFR","1956","NP_958440.1","P00533","3IKA","X-ray","2.90","A/B","694-1022"
"EGFR","1956","NP_958440.1","P00533","3NJP","X-ray","3.30","A/B","25-638"
"EGFR","1956","NP_958440.1","P00533","3OB2","X-ray","2.10","A","1063-1074"
"EGFR","1956","NP_958440.1","P00533","3OP0","X-ray","2.52","C/D","1066-1076"
"EGFR","1956","NP_958440.1","P00533","3PFV","X-ray","2.27","C/D","1066-1076"
"EGFR","1956","NP_958441.1","P00533","1DNQ","model","0.00","A","25-336"
"EGFR","1956","NP_958441.1","P00533","1DNR","model","0.00","A","337-645"
"EGFR","1956","NP_958441.1","P00533","1IVO","X-ray","3.30","A/B","25-646"
"EGFR","1956","NP_958441.1","P00533","1M14","X-ray","2.60","A","695-1022"
"EGFR","1956","NP_958441.1","P00533","1M17","X-ray","2.60","A","695-1022"
"EGFR","1956","NP_958441.1","P00533","1MOX","X-ray","2.50","A/B","25-525"
"EGFR","1956","NP_958441.1","P00533","1NQL","X-ray","2.80","A","25-642"
"EGFR","1956","NP_958441.1","P00533","1XKK","X-ray","2.40","A","695-1022"
"EGFR","1956","NP_958441.1","P00533","1YY9","X-ray","2.60","A","25-642"
"EGFR","1956","NP_958441.1","P00533","1Z9I","NMR","0.00","A","669-721"
"EGFR","1956","NP_958441.1","P00533","2EB2","X-ray","2.50","A","695-1022"
"EGFR","1956","NP_958441.1","P00533","2EB3","X-ray","2.84","A","695-1022"
"EGFR","1956","NP_958441.1","P00533","2EXP","model","0.00","A","311-326"
"EGFR","1956","NP_958441.1","P00533","2EXQ","model","0.00","A","27-536"
"EGFR","1956","NP_958441.1","P00533","2GS2","X-ray","2.80","A","696-1022"
"EGFR","1956","NP_958441.1","P00533","2GS6","X-ray","2.60","A","696-1022"
"EGFR","1956","NP_958441.1","P00533","2GS7","X-ray","2.60","A/B","696-1022"
"EGFR","1956","NP_958441.1","P00533","2ITN","X-ray","2.47","A","696-1019"
"EGFR","1956","NP_958441.1","P00533","2ITO","X-ray","3.25","A","696-1022"
"EGFR","1956","NP_958441.1","P00533","2ITP","X-ray","2.74","A","696-1022"
"EGFR","1956","NP_958441.1","P00533","2ITQ","X-ray","2.68","A","696-1022"
"EGFR","1956","NP_958441.1","P00533","2ITT","X-ray","2.73","A","696-1022"
"EGFR","1956","NP_958441.1","P00533","2ITU","X-ray","2.80","A","696-1022"
"EGFR","1956","NP_958441.1","P00533","2ITV","X-ray","2.47","A","696-1022"
"EGFR","1956","NP_958441.1","P00533","2ITW","X-ray","2.88","A","696-1022"
"EGFR","1956","NP_958441.1","P00533","2ITX","X-ray","2.98","A","696-1022"
"EGFR","1956","NP_958441.1","P00533","2ITY","X-ray","3.42","A","696-1022"
"EGFR","1956","NP_958441.1","P00533","2ITZ","X-ray","2.72","A","696-1022"
"EGFR","1956","NP_958441.1","P00533","2J5E","X-ray","3.10","A","696-1022"
"EGFR","1956","NP_958441.1","P00533","2J5F","X-ray","3.00","A","696-1022"
"EGFR","1956","NP_958441.1","P00533","2J6M","X-ray","3.10","A","696-1022"
"EGFR","1956","NP_958441.1","P00533","2JIT","X-ray","3.10","A/B","696-1022"
"EGFR","1956","NP_958441.1","P00533","2JIU","X-ray","3.05","A/B","695-1022"
"EGFR","1956","NP_958441.1","P00533","2JIV","X-ray","3.50","A/B","695-1022"
"EGFR","1956","NP_958441.1","P00533","2KS1","NMR","0.00","B","634-677"
"EGFR","1956","NP_958441.1","P00533","2RF9","X-ray","3.50","A/B","696-1022"
"EGFR","1956","NP_958441.1","P00533","2RFD","X-ray","3.60","A/B","702-1022"
"EGFR","1956","NP_958441.1","P00533","2RFE","X-ray","2.90","A/B/C/D","702-1022"
"EGFR","1956","NP_958441.1","P00533","2RGP","X-ray","2.00","A","702-1016"
"EGFR","1956","NP_958441.1","P00533","3B2U","X-ray","2.58","A/B/E/I/M/P/S/V","335-538"
"EGFR","1956","NP_958441.1","P00533","3B2V","X-ray","3.30","A","25-642"
"EGFR","1956","NP_958441.1","P00533","3BEL","X-ray","2.30","A","702-1016"
"EGFR","1956","NP_958441.1","P00533","3BUO","X-ray","2.60","A/C","1063-1075"
"EGFR","1956","NP_958441.1","P00533","3C09","X-ray","3.20","A/D","335-538"
"EGFR","1956","NP_958441.1","P00533","3G5V","X-ray","2.00","C","311-326"
"EGFR","1956","NP_958441.1","P00533","3G5Y","X-ray","1.59","E","311-326"
"EGFR","1956","NP_958441.1","P00533","3GOP","X-ray","2.80","A","669-1022"
"EGFR","1956","NP_958441.1","P00533","3GT8","X-ray","2.96","A/B/C/D","696-1022"
"EGFR","1956","NP_958441.1","P00533","3IKA","X-ray","2.90","A/B","694-1022"
"EGFR","1956","NP_958441.1","P00533","3NJP","X-ray","3.30","A/B","25-638"
"EGFR","1956","NP_958441.1","P00533","3OB2","X-ray","2.10","A","1063-1074"
"EGFR","1956","NP_958441.1","P00533","3OP0","X-ray","2.52","C/D","1066-1076"
"EGFR","1956","NP_958441.1","P00533","3PFV","X-ray","2.27","C/D","1066-1076"
"EGFR","1956","NP_958439.1","P00533","1DNQ","model","0.00","A","25-336"
"EGFR","1956","NP_958439.1","P00533","1DNR","model","0.00","A","337-645"
"EGFR","1956","NP_958439.1","P00533","1IVO","X-ray","3.30","A/B","25-646"
"EGFR","1956","NP_958439.1","P00533","1M14","X-ray","2.60","A","695-1022"
"EGFR","1956","NP_958439.1","P00533","1M17","X-ray","2.60","A","695-1022"
"EGFR","1956","NP_958439.1","P00533","1MOX","X-ray","2.50","A/B","25-525"
"EGFR","1956","NP_958439.1","P00533","1NQL","X-ray","2.80","A","25-642"
"EGFR","1956","NP_958439.1","P00533","1XKK","X-ray","2.40","A","695-1022"
"EGFR","1956","NP_958439.1","P00533","1YY9","X-ray","2.60","A","25-642"
"EGFR","1956","NP_958439.1","P00533","1Z9I","NMR","0.00","A","669-721"
"EGFR","1956","NP_958439.1","P00533","2EB2","X-ray","2.50","A","695-1022"
"EGFR","1956","NP_958439.1","P00533","2EB3","X-ray","2.84","A","695-1022"
"EGFR","1956","NP_958439.1","P00533","2EXP","model","0.00","A","311-326"
"EGFR","1956","NP_958439.1","P00533","2EXQ","model","0.00","A","27-536"
"EGFR","1956","NP_958439.1","P00533","2GS2","X-ray","2.80","A","696-1022"
"EGFR","1956","NP_958439.1","P00533","2GS6","X-ray","2.60","A","696-1022"
"EGFR","1956","NP_958439.1","P00533","2GS7","X-ray","2.60","A/B","696-1022"
"EGFR","1956","NP_958439.1","P00533","2ITN","X-ray","2.47","A","696-1019"
"EGFR","1956","NP_958439.1","P00533","2ITO","X-ray","3.25","A","696-1022"
"EGFR","1956","NP_958439.1","P00533","2ITP","X-ray","2.74","A","696-1022"
"EGFR","1956","NP_958439.1","P00533","2ITQ","X-ray","2.68","A","696-1022"
"EGFR","1956","NP_958439.1","P00533","2ITT","X-ray","2.73","A","696-1022"
"EGFR","1956","NP_958439.1","P00533","2ITU","X-ray","2.80","A","696-1022"
"EGFR","1956","NP_958439.1","P00533","2ITV","X-ray","2.47","A","696-1022"
"EGFR","1956","NP_958439.1","P00533","2ITW","X-ray","2.88","A","696-1022"
"EGFR","1956","NP_958439.1","P00533","2ITX","X-ray","2.98","A","696-1022"
"EGFR","1956","NP_958439.1","P00533","2ITY","X-ray","3.42","A","696-1022"
"EGFR","1956","NP_958439.1","P00533","2ITZ","X-ray","2.72","A","696-1022"
"EGFR","1956","NP_958439.1","P00533","2J5E","X-ray","3.10","A","696-1022"
"EGFR","1956","NP_958439.1","P00533","2J5F","X-ray","3.00","A","696-1022"
"EGFR","1956","NP_958439.1","P00533","2J6M","X-ray","3.10","A","696-1022"
"EGFR","1956","NP_958439.1","P00533","2JIT","X-ray","3.10","A/B","696-1022"
"EGFR","1956","NP_958439.1","P00533","2JIU","X-ray","3.05","A/B","695-1022"
"EGFR","1956","NP_958439.1","P00533","2JIV","X-ray","3.50","A/B","695-1022"
"EGFR","1956","NP_958439.1","P00533","2KS1","NMR","0.00","B","634-677"
"EGFR","1956","NP_958439.1","P00533","2RF9","X-ray","3.50","A/B","696-1022"
"EGFR","1956","NP_958439.1","P00533","2RFD","X-ray","3.60","A/B","702-1022"
"EGFR","1956","NP_958439.1","P00533","2RFE","X-ray","2.90","A/B/C/D","702-1022"
"EGFR","1956","NP_958439.1","P00533","2RGP","X-ray","2.00","A","702-1016"
"EGFR","1956","NP_958439.1","P00533","3B2U","X-ray","2.58","A/B/E/I/M/P/S/V","335-538"
"EGFR","1956","NP_958439.1","P00533","3B2V","X-ray","3.30","A","25-642"
"EGFR","1956","NP_958439.1","P00533","3BEL","X-ray","2.30","A","702-1016"
"EGFR","1956","NP_958439.1","P00533","3BUO","X-ray","2.60","A/C","1063-1075"
"EGFR","1956","NP_958439.1","P00533","3C09","X-ray","3.20","A/D","335-538"
"EGFR","1956","NP_958439.1","P00533","3G5V","X-ray","2.00","C","311-326"
"EGFR","1956","NP_958439.1","P00533","3G5Y","X-ray","1.59","E","311-326"
"EGFR","1956","NP_958439.1","P00533","3GOP","X-ray","2.80","A","669-1022"
"EGFR","1956","NP_958439.1","P00533","3GT8","X-ray","2.96","A/B/C/D","696-1022"
"EGFR","1956","NP_958439.1","P00533","3IKA","X-ray","2.90","A/B","694-1022"
"EGFR","1956","NP_958439.1","P00533","3NJP","X-ray","3.30","A/B","25-638"
"EGFR","1956","NP_958439.1","P00533","3OB2","X-ray","2.10","A","1063-1074"
"EGFR","1956","NP_958439.1","P00533","3OP0","X-ray","2.52","C/D","1066-1076"
"EGFR","1956","NP_958439.1","P00533","3PFV","X-ray","2.27","C/D","1066-1076"
"EHD2","30846","NP_055416.2","Q9NZN4","-","-","0.00","-","-"
"EIF4EBP1","1978","NP_004086.1","Q13541","1WKW","X-ray","2.10","B","47-66"
"EIF4EBP1","1978","NP_004086.1","Q13541","2JGB","X-ray","1.70","B","51-67"
"EIF4EBP1","1978","NP_004086.1","Q13541","2JGC","X-ray","2.40","B","51-67"
"EIF4EBP1","1978","NP_004086.1","Q13541","2V8W","X-ray","2.30","B/F","51-64"
"EIF4EBP1","1978","NP_004086.1","Q13541","2V8X","X-ray","2.30","B/F","51-64"
"EIF4EBP1","1978","NP_004086.1","Q13541","2V8Y","X-ray","2.10","B/F","51-64"
"EIF4EBP1","1978","NP_004086.1","Q13541","3HXG","X-ray","2.10","C","51-67"
"EIF4EBP1","1978","NP_004086.1","Q13541","3HXI","X-ray","1.80","C","51-67"
"ELF1","1997","NP_001138825.1","-","-","-","0.00","-","-"
"ELF1","1997","NP_758961.1","P32519","-","-","0.00","-","-"
"ELF5","2001","NP_001413.1","Q9UKW6","1WWX","NMR","0.00","A","172-265"
"ELF5","2001","NP_938195.1","Q9UKW6","1WWX","NMR","0.00","A","172-265"
"EMILIN1","11117","NP_008977.1","Q9Y6C2","2KA3","NMR","0.00","A/B/C","867-1016"
"EMILIN1","11117","NP_008977.1","Q9Y6C2","2OII","NMR","0.00","A/B/C","867-1016"
"EMP2","2013","NP_001415.1","P54851","-","-","0.00","-","-"
"ENOSF1","55556","NP_001119595.1","Q7L5Y1","-","-","0.00","-","-"
"ENOSF1","55556","NP_059982.2","Q7L5Y1","-","-","0.00","-","-"
"ENOSF1","55556","NP_974487.1","Q7L5Y1","-","-","0.00","-","-"
"ENSA","2029","NP_004427.1","O43768","-","-","0.00","-","-"
"ENSA","2029","NP_996925.1","O43768","-","-","0.00","-","-"
"ENSA","2029","NP_996926.1","O43768","-","-","0.00","-","-"
"ENSA","2029","NP_996927.1","O43768","-","-","0.00","-","-"
"ENSA","2029","NP_996928.1","O43768","-","-","0.00","-","-"
"ENSA","2029","NP_996929.1","O43768","-","-","0.00","-","-"
"ENSA","2029","NP_996930.1","O43768","-","-","0.00","-","-"
"ENSA","2029","NP_997051.1","O43768","-","-","0.00","-","-"
"EPDR1","54749","NP_060019.1","Q9UM22","-","-","0.00","-","-"
"EPHB2","2048","NP_004433.2","P29323","1B4F","X-ray","1.95","A/B/C/D/E/F/G/H","910-985"
"EPHB2","2048","NP_004433.2","P29323","1F0M","X-ray","2.20","A","910-985"
"EPHB2","2048","NP_004433.2","P29323","2QBX","X-ray","2.30","A/B","20-196"
"EPHB2","2048","NP_004433.2","P29323","1B4F","X-ray","1.95","A/B/C/D/E/F/G/H","910-985"
"EPHB2","2048","NP_004433.2","P29323","1F0M","X-ray","2.20","A","910-985"
