"Gene_Name","Gene_ID","Protein_ID","Domain_No","Range","Superfamily","Family"
"CYP3A7","1551","NP_000756.2","1","32-497","Cytochrome P450","Cytochrome P450"
"CYP4X1","260293","NP_828847.1","1","38-505","Cytochrome P450","Cytochrome P450"
"Cyr61","3491","NP_001545.2","1","28-103","Growth factor receptor domain","Growth factor receptor domain"
"Cyr61","3491","NP_001545.2","2","98-163","FnI-like domain","Fibronectin type I module"
"Cyr61","3491","NP_001545.2","3","227-272","TSP-1 type 1 repeat","TSP-1 type 1 repeat"
"DAB2IP","153090","NP_115941.2","3","134-183","PH domain-like","Pleckstrin-homology domain (PH domain)"
"DAB2IP","153090","NP_115941.2","2","186-307","C2 domain (Calcium/lipid-binding domain; CaLB)","PLC-like (P variant)"
"DAB2IP","153090","NP_115941.2","1","312-629","GTPase activation domain; GAP","p120GAP domain-like"
"DAB2IP","153090","NP_619723.1","3","38-87","PH domain-like","Pleckstrin-homology domain (PH domain)"
"DAB2IP","153090","NP_619723.1","2","90-211","C2 domain (Calcium/lipid-binding domain; CaLB)","PLC-like (P variant)"
"DAB2IP","153090","NP_619723.1","1","216-533","GTPase activation domain; GAP","p120GAP domain-like"
"DACH1","1602","NP_004383.3","1","185-283","Putative DNA-binding domain","Dachshund-homology domain"
"DACH1","1602","NP_542937.2","1","185-283","Putative DNA-binding domain","Dachshund-homology domain"
"DACH1","1602","NP_542938.2","1","185-283","Putative DNA-binding domain","Dachshund-homology domain"
"DARS","1615","NP_001340.2","2","26-151","Nucleic acid-binding proteins","Anticodon-binding domain"
"DARS","1615","NP_001340.2","1","172-500","Class II aaRS and biotin synthetases","Class II aminoacyl-tRNA synthetase (aaRS)-like; catalytic domain"
"DDR1","780","NP_001189450.1","1","29-187","Galactose-binding domain-like","Discoidin domain (FA58C; coagulation factor 5/8 C-terminal domain)"
"DDR1","780","NP_001189451.1","2","29-187","Galactose-binding domain-like","Discoidin domain (FA58C; coagulation factor 5/8 C-terminal domain)"
"DDR1","780","NP_001189451.1","1","502-758","Protein kinase-like (PK-like)","Discoidin domain (FA58C; coagulation factor 5/8 C-terminal domain)"
"DDR1","780","NP_001189452.1","2","47-205","Galactose-binding domain-like","Discoidin domain (FA58C; coagulation factor 5/8 C-terminal domain)"
"DDR1","780","NP_001189452.1","1","584-885","Protein kinase-like (PK-like)","Protein kinases; catalytic subunit"
"DDR1","780","NP_001945.3","2","29-187","Galactose-binding domain-like","Discoidin domain (FA58C; coagulation factor 5/8 C-terminal domain)"
"DDR1","780","NP_001945.3","1","566-867","Protein kinase-like (PK-like)","Protein kinases; catalytic subunit"
"DDR1","780","NP_054699.2","2","29-187","Galactose-binding domain-like","Discoidin domain (FA58C; coagulation factor 5/8 C-terminal domain)"
"DDR1","780","NP_054699.2","1","603-904","Protein kinase-like (PK-like)","Protein kinases; catalytic subunit"
"DDR1","780","NP_054700.2","2","29-187","Galactose-binding domain-like","Discoidin domain (FA58C; coagulation factor 5/8 C-terminal domain)"
"DDR1","780","NP_054700.2","1","603-910","Protein kinase-like (PK-like)","Protein kinases; catalytic subunit"
"DEPDC1","55635","NP_001107592.1","1","12-157","Winged helix DNA-binding domain","DEP domain"
"DEPDC1","55635","NP_001107592.1","2","228-300;587-682","GTPase activation domain; GAP","BCR-homology GTPase activation domain (BH-domain)"
"DEPDC1","55635","NP_060249.2","1","12-157","Winged helix DNA-binding domain","DEP domain"
"DEPDC1","55635","NP_060249.2","2","228-398","GTPase activation domain; GAP","BCR-homology GTPase activation domain (BH-domain)"
"DHX16","8449","NP_001157711.1","1","324-901","P-loop containing nucleoside triphosphate hydrolases","Tandem AAA-ATPase domain"
"DHX16","8449","NP_003578.2","1","384-961","P-loop containing nucleoside triphosphate hydrolases","Tandem AAA-ATPase domain"
"DKK4","27121","NP_055235.1","0","-","-","-"
"DLX5","1749","NP_005212.1","1","133-198","Homeodomain-like","Homeodomain"
"DNAJA2","10294","NP_005871.1","1","5-101","Chaperone J-domain","Chaperone J-domain"
"DNAJA2","10294","NP_005871.1","3","140-212","DnaJ/Hsp40 cysteine-rich domain","DnaJ/Hsp40 cysteine-rich domain"
"DNAJA2","10294","NP_005871.1","4","114-148;215-258","HSP40/DnaJ peptide-binding domain","HSP40/DnaJ peptide-binding domain"
"DNAJA2","10294","NP_005871.1","2","259-346","HSP40/DnaJ peptide-binding domain","HSP40/DnaJ peptide-binding domain"
"DNMT1","1786","NP_001124295.1","1","1154-1457;1522-1608","S-adenosyl-L-methionine-dependent methyltransferases","C5 cytosine-specific DNA methylase; DCM"
"DNMT1","1786","NP_001370.1","1","1138-1441;1506-1592","S-adenosyl-L-methionine-dependent methyltransferases","C5 cytosine-specific DNA methylase; DCM"
"DPP6","1804","NP_001034439.1","1","64-527","DPP6 N-terminal domain-like","DPP6 N-terminal domain-like"
"DPP6","1804","NP_001034439.1","2","536-783","alpha/beta-Hydrolases","DPP6 catalytic domain-like"
"DPP6","1804","NP_001927.3","1","66-529","DPP6 N-terminal domain-like","DPP6 N-terminal domain-like"
"DPP6","1804","NP_001927.3","2","538-785","alpha/beta-Hydrolases","DPP6 catalytic domain-like"
"DPP6","1804","NP_570629.2","1","128-591","DPP6 N-terminal domain-like","DPP6 N-terminal domain-like"
"DPP6","1804","NP_570629.2","2","600-847","alpha/beta-Hydrolases","DPP6 catalytic domain-like"
"ECM2","1842","NP_001184224.1","2","101-158","FnI-like domain","VWC domain"
"ECM2","1842","NP_001184224.1","1","303-653","RNI-like","28-residue LRR"
"ECM2","1842","NP_001184225.1","2","101-158","FnI-like domain","VWC domain"
"ECM2","1842","NP_001184225.1","1","305-626","L domain-like","Ngr ectodomain-like"
"ECM2","1842","NP_001384.1","2","101-159","FnI-like domain","VWC domain"
"ECM2","1842","NP_001384.1","1","325-675","RNI-like","28-residue LRR"
"EDNRB","1910","NP_000106.1","0","-","-","-"
"EDNRB","1910","NP_001116131.1","1","80-410","Family A G protein-coupled receptor-like","Rhodopsin-like"
"EDNRB","1910","NP_001188326.1","1","170-500","Family A G protein-coupled receptor-like","Rhodopsin-like"
"EFEMP1","2202","NP_001034437.1","2","170-220","EGF/Laminin","EGF-type module"
"EFEMP1","2202","NP_001034437.1","1","212-334","Growth factor receptor domain","Growth factor receptor domain"
"EFEMP1","2202","NP_001034438.1","2","170-220","EGF/Laminin","EGF-type module"
"EFEMP1","2202","NP_001034438.1","1","212-334","Growth factor receptor domain","Growth factor receptor domain"
"EFHA2","286097","NP_859074.1","2","185-278;332-366","EF-hand","Calmodulin-like"
"EFHA2","286097","NP_859074.1","1","351-500","EF-hand","Calmodulin-like"
"EFNB2","1948","NP_004084.1","1","30-166","Cupredoxins","Ephrin ectodomain"
"EFS","10278","NP_005855.1","1","8-92","SH3-domain","SH3-domain"
"EFS","10278","NP_115835.1","0","-","-","-"
"EGF","1950","NP_001171601.1","2","46-288","YWTD domain","YWTD domain"
"EGF","1950","NP_001171601.1","4","26-42;317-408","Growth factor receptor domain","Growth factor receptor domain"
"EGF","1950","NP_001171601.1","3","400-476;733-784","Growth factor receptor domain","Growth factor receptor domain"
"EGF","1950","NP_001171601.1","1","483-737","YWTD domain","YWTD domain"
"EGF","1950","NP_001171601.1","6","833-973","Growth factor receptor domain","Growth factor receptor domain"
"EGF","1950","NP_001171601.1","5","933-977","EGF/Laminin","EGF-type module"
"EGF","1950","NP_001171602.1","2","46-288","YWTD domain","YWTD domain"
"EGF","1950","NP_001171602.1","5","314-360","EGF/Laminin","EGF-type module"
"EGF","1950","NP_001171602.1","3","359-434;691-742","Growth factor receptor domain","Growth factor receptor domain"
"EGF","1950","NP_001171602.1","1","441-695","YWTD domain","YWTD domain"
"EGF","1950","NP_001171602.1","6","702-739;792-868","Growth factor receptor domain","Growth factor receptor domain"
"EGF","1950","NP_001171602.1","7","864-907","EGF/Laminin","EGF-type module"
"EGF","1950","NP_001171602.1","4","932-976","EGF/Laminin","EGF-type module"
"EGF","1950","NP_001954.2","2","46-288","YWTD domain","YWTD domain"
"EGF","1950","NP_001954.2","4","27-42;317-408","Growth factor receptor domain","Growth factor receptor domain"
"EGF","1950","NP_001954.2","3","401-476;733-784","Growth factor receptor domain","Growth factor receptor domain"
"EGF","1950","NP_001954.2","1","483-737","YWTD domain","YWTD domain"
"EGF","1950","NP_001954.2","7","831-881","EGF/Laminin","EGF-type module"
"EGF","1950","NP_001954.2","6","870-923","EGF/Laminin","EGF-type module"
"EGF","1950","NP_001954.2","8","909-954","EGF/Laminin","EGF-type module"
"EGF","1950","NP_001954.2","5","974-1018","EGF/Laminin","EGF-type module"
"EGFL6","25975","NP_001161362.1","3","94-143","EGF/Laminin","EGF-type module"
"EGFL6","25975","NP_001161362.1","2","138-263","Growth factor receptor domain","Growth factor receptor domain"
"EGFL6","25975","NP_001161362.1","1","400-545","Concanavalin A-like lectins/glucanases","MAM domain"
"EGFL6","25975","NP_056322.2","3","94-143","EGF/Laminin","EGF-type module"
"EGFL6","25975","NP_056322.2","2","138-263","Growth factor receptor domain","Growth factor receptor domain"
"EGFL6","25975","NP_056322.2","1","399-544","Concanavalin A-like lectins/glucanases","MAM domain"
"EGFR","1956","NP_005219.2","3","31-209","L domain-like","L domain"
"EGFR","1956","NP_005219.2","5","186-339","Growth factor receptor domain","Growth factor receptor domain"
"EGFR","1956","NP_005219.2","2","328-520","L domain-like","L domain"
"EGFR","1956","NP_005219.2","4","505-636","Growth factor receptor domain","Growth factor receptor domain"
"EGFR","1956","NP_005219.2","1","708-1003","Protein kinase-like (PK-like)","Protein kinases; catalytic subunit"
"EGFR","1956","NP_958439.1","2","31-209","L domain-like","L domain"
"EGFR","1956","NP_958439.1","4","186-339","Growth factor receptor domain","Growth factor receptor domain"
"EGFR","1956","NP_958439.1","1","328-520","L domain-like","L domain"
"EGFR","1956","NP_958439.1","3","505-624","Growth factor receptor domain","Growth factor receptor domain"
"EGFR","1956","NP_958440.1","1","31-209","L domain-like","L domain"
"EGFR","1956","NP_958440.1","2","186-339","Growth factor receptor domain","Growth factor receptor domain"
"EGFR","1956","NP_958440.1","3","328-403","L domain-like","L domain"
"EGFR","1956","NP_958441.1","2","31-209","L domain-like","L domain"
"EGFR","1956","NP_958441.1","4","186-339","Growth factor receptor domain","Growth factor receptor domain"
"EGFR","1956","NP_958441.1","1","328-520","L domain-like","L domain"
"EGFR","1956","NP_958441.1","3","505-624","Growth factor receptor domain","Growth factor receptor domain"
"EHD2","30846","NP_055416.2","1","53-322","P-loop containing nucleoside triphosphate hydrolases","G proteins"
"EHD2","30846","NP_055416.2","2","447-536","EF-hand","Eps15 homology domain (EH domain)"
"EIF4EBP1","1978","NP_004086.1","0","-","-","-"
"ELF1","1997","NP_001138825.1","1","182-320","Winged helix DNA-binding domain","ets domain"
"ELF1","1997","NP_758961.1","1","206-344","Winged helix DNA-binding domain","ets domain"
"ELF5","2001","NP_001413.1","2","22-118","SAM/Pointed domain","Pointed domain"
"ELF5","2001","NP_001413.1","1","155-250","Winged helix DNA-binding domain","ets domain"
"ELF5","2001","NP_938195.1","2","32-128","SAM/Pointed domain","Pointed domain"
"ELF5","2001","NP_938195.1","1","165-260","Winged helix DNA-binding domain","ets domain"
"EMILIN1","11117","NP_008977.1","1","869-1009","TNF-like","TNF-like"
"EMP2","2013","NP_001415.1","0","-","-","-"
"ENOSF1","55556","NP_001119595.1","2","12-60","Enolase N-terminal domain-like","Enolase N-terminal domain-like"
"ENOSF1","55556","NP_001119595.1","1","104-352","Enolase C-terminal domain-like","D-glucarate dehydratase-like"
"ENOSF1","55556","NP_059982.2","2","5-141","Enolase N-terminal domain-like","Enolase N-terminal domain-like"
"ENOSF1","55556","NP_059982.2","1","186-434","Enolase C-terminal domain-like","D-glucarate dehydratase-like"
"ENOSF1","55556","NP_974487.1","2","44-162","Enolase N-terminal domain-like","Enolase N-terminal domain-like"
"ENOSF1","55556","NP_974487.1","1","207-441","Enolase C-terminal domain-like","D-glucarate dehydratase-like"
"ENSA","2029","NP_004427.1","0","-","-","-"
"ENSA","2029","NP_996925.1","0","-","-","-"
"ENSA","2029","NP_996926.1","0","-","-","-"
"ENSA","2029","NP_996927.1","0","-","-","-"
"ENSA","2029","NP_996928.1","0","-","-","-"
"ENSA","2029","NP_996929.1","0","-","-","-"
"ENSA","2029","NP_996930.1","0","-","-","-"
"ENSA","2029","NP_997051.1","0","-","-","-"
"EPDR1","54749","NP_060019.1","0","-","-","-"
"EPHB2","2048","NP_004433.2","2","20-195","Galactose-binding domain-like","Ephrin receptor ligand binding domain"
"EPHB2","2048","NP_004433.2","5","253-324;362-381","Growth factor receptor domain","Growth factor receptor domain"
"EPHB2","2048","NP_004433.2","3","324-529","Fibronectin type III","Fibronectin type III"
"EPHB2","2048","NP_004433.2","1","614-915","Protein kinase-like (PK-like)","Protein kinases; catalytic subunit"
"EPHB2","2048","NP_004433.2","4","911-985","SAM/Pointed domain","SAM (sterile alpha motif) domain"
"EPHB2","2048","NP_059145.2","2","20-195","Galactose-binding domain-like","Ephrin receptor ligand binding domain"
"EPHB2","2048","NP_059145.2","5","253-324;362-381","Growth factor receptor domain","Growth factor receptor domain"
"EPHB2","2048","NP_059145.2","3","324-529","Fibronectin type III","Fibronectin type III"
"EPHB2","2048","NP_059145.2","1","613-914","Protein kinase-like (PK-like)","Protein kinases; catalytic subunit"
"EPHB2","2048","NP_059145.2","4","910-984","SAM/Pointed domain","SAM (sterile alpha motif) domain"
"EPHB4","2050","NP_004435.3","2","17-196","Galactose-binding domain-like","Ephrin receptor ligand binding domain"
"EPHB4","2050","NP_004435.3","5","250-320;361-375","Growth factor receptor domain","Growth factor receptor domain"
"EPHB4","2050","NP_004435.3","3","322-527","Fibronectin type III","Fibronectin type III"
"EPHB4","2050","NP_004435.3","1"," 609-886","Protein kinase-like (PK-like)","Protein kinases; catalytic subunit"
"EPHB4","2050","NP_004435.3","4","905-974","SAM/Pointed domain","SAM (sterile alpha motif) domain"
"EPPK1","83481","NP_112598.2","13","39-231","Plakin repeat","Plakin repeat"
"EPPK1","83481","NP_112598.2","12","234-469","Plakin repeat","Plakin repeat"
"EPPK1","83481","NP_112598.2","6","560-799","Plakin repeat","Plakin repeat"
"EPPK1","83481","NP_112598.2","11","880-1115","Plakin repeat","Plakin repeat"
"EPPK1","83481","NP_112598.2","10","1196-1434","Plakin repeat","Plakin repeat"
"EPPK1","83481","NP_112598.2","1","1520-1759","Plakin repeat","Plakin repeat"
"EPPK1","83481","NP_112598.2","9","1849-2085","Plakin repeat","Plakin repeat"
"EPPK1","83481","NP_112598.2","8","2174-2417","Plakin repeat","Plakin repeat"
"EPPK1","83481","NP_112598.2","2","2708-2951","Plakin repeat","Plakin repeat"
"EPPK1","83481","NP_112598.2","3","3242-3485","Plakin repeat","Plakin repeat"
"EPPK1","83481","NP_112598.2","4","3776-4019","Plakin repeat","Plakin repeat"
"EPPK1","83481","NP_112598.2","5","4310-4553","Plakin repeat","Plakin repeat"
"EPPK1","83481","NP_112598.2","7","4844-5087","Plakin repeat","Plakin repeat"
"ErbB2","2064","NP_001005862.1","2","17-184","L domain-like","L domain"
"ErbB2","2064","NP_001005862.1","5","159-313","Growth factor receptor domain","Growth factor receptor domain"
"ErbB2","2064","NP_001005862.1","3","307-495","L domain-like","L domain"
"ErbB2","2064","NP_001005862.1","4","481-612","Growth factor receptor domain","Growth factor receptor domain"
"ErbB2","2064","NP_001005862.1","1","686-962","Protein kinase-like (PK-like)","Protein kinases; catalytic subunit"
"ErbB2","2064","NP_004439.2","2","47-214","L domain-like","L domain"
"ErbB2","2064","NP_004439.2","5","189-343","Growth factor receptor domain","Growth factor receptor domain"
"ErbB2","2064","NP_004439.2","3","337-525","L domain-like","L domain"
"ErbB2","2064","NP_004439.2","4","511-642","Growth factor receptor domain","Growth factor receptor domain"
"ErbB2","2064","NP_004439.2","1","716-992","Protein kinase-like (PK-like)","Protein kinases; catalytic subunit"
"ERO1L","30001","NP_055399.1","1","48-466","ERO1-like","ERO1-like"
"ESM1","11082","NP_001129076.1","1","24-101","Growth factor receptor domain","Growth factor receptor domain"
"ESM1","11082","NP_008967.1","1","24-101","Growth factor receptor domain","Growth factor receptor domain"
"ESPN","83715","NP_113663.2","1","8-332","Ankyrin repeat","Ankyrin repeat"
"ESR1","2099","NP_000116.2","2","183-262","Glucocorticoid receptor-like (DNA-binding domain)","Nuclear receptor"
"ESR1","2099","NP_000116.2","1","315-547","Nuclear receptor ligand-binding domain","Nuclear receptor ligand-binding domain"
"ESR1","2099","NP_001116212.1","2","183-262","Glucocorticoid receptor-like (DNA-binding domain)","Nuclear receptor"
"ESR1","2099","NP_001116212.1","1","315-547","Nuclear receptor ligand-binding domain","Nuclear receptor ligand-binding domain"
"ESR1","2099","NP_001116213.1","2","183-262","Glucocorticoid receptor-like (DNA-binding domain)","Nuclear receptor"
"ESR1","2099","NP_001116213.1","1","315-547","Nuclear receptor ligand-binding domain","Nuclear receptor ligand-binding domain"
"ESR1","2099","NP_001116214.1","2","183-262","Glucocorticoid receptor-like (DNA-binding domain)","Nuclear receptor"
"ESR1","2099","NP_001116214.1","1","315-547","Nuclear receptor ligand-binding domain","Nuclear receptor ligand-binding domain"
"ESR2","2100","NP_001035365.1","2","147-225","Glucocorticoid receptor-like (DNA-binding domain)","Nuclear receptor"
"ESR2","2100","NP_001035365.1","1","262-476","Nuclear receptor ligand-binding domain","Nuclear receptor ligand-binding domain"
"ESR2","2100","NP_001035366.1","2","147-225","Glucocorticoid receptor-like (DNA-binding domain)","Nuclear receptor"
"ESR2","2100","NP_001035366.1","1","262-476","Nuclear receptor ligand-binding domain","Nuclear receptor ligand-binding domain"
"ESR2","2100","NP_001428.1","2","147-225","Glucocorticoid receptor-like (DNA-binding domain)","Nuclear receptor"
"ESR2","2100","NP_001428.1","1","262-498","Nuclear receptor ligand-binding domain","Nuclear receptor ligand-binding domain"
"ETS1","2113","NP_001137292.1","2","74-179","SAM/Pointed domain","Pointed domain"
"ETS1","2113","NP_001137292.1","1","347-479","Winged helix DNA-binding domain","ets domain"
"ETS1","2113","NP_001155894.1","1","87-219","Winged helix DNA-binding domain","ets domain"
"ETS1","2113","NP_005229.1","2","30-135","SAM/Pointed domain","Pointed domain"
"ETS1","2113","NP_005229.1","1","303-435","Winged helix DNA-binding domain","ets domain"
"ETV5","2119","NP_004445.1","1","366-484","Winged helix DNA-binding domain","ets domain"
"ETV5","2119","NP_004445.1","1","366-484","Winged helix DNA-binding domain","ets domain"
"F10","2159","NP_000495.1","2","40-103","GLA-domain","GLA-domain"
"F10","2159","NP_000495.1","3","93-124","EGF/Laminin","EGF-type module"
"F10","2159","NP_000495.1","1","145-174;227-467","Trypsin-like serine proteases","Eukaryotic proteases"
"F13A1","2162","NP_000120.2","2","8-191","E set domains","Transglutaminase N-terminal domain"
"F13A1","2162","NP_000120.2","1","192-502","Cysteine proteinases","Transglutaminase core"
"F13A1","2162","NP_000120.2","3","517-628","Transglutaminase; two C-terminal domains","Transglutaminase; two C-terminal domains"
"F13A1","2162","NP_000120.2","4","630-728","Transglutaminase; two C-terminal domains","Transglutaminase; two C-terminal domains"
"FAM20A","54757","NP_060035.2","0","-","-","-"
"FAM46C","54855","NP_060179.2","0","-","-","-"
"FAM65C","140876","NP_543019.2","0","-","-","-"
"FAM89B","23625","NP_001092254.1","0","-","-","-"
"FAM89B","23625","NP_001092255.1","0","-","-","-"
"FAM89B","23625","NP_690045.1","0","-","-","-"
"Fas","355","NP_000034.1","2","48-101","TNF receptor-like","TNF receptor-like"
"Fas","355","NP_000034.1","3","106-150","TNF receptor-like","TNF receptor-like"
"Fas","355","NP_000034.1","1","218-334","DEATH domain","DEATH domain; DD"
"Fas","355","NP_690610.1","2","48-101","TNF receptor-like","TNF receptor-like"
"Fas","355","NP_690610.1","3","106-150","TNF receptor-like","TNF receptor-like"
"Fas","355","NP_690610.1","1","197-313","DEATH domain","DEATH domain; DD"
"Fas","355","NP_690611.1","1","48-101","TNF receptor-like","TNF receptor-like"
"Fas","355","NP_690611.1","2","106-150","TNF receptor-like","TNF receptor-like"
"FBN1","2200","NP_000129.3","13","179-264","TB module/8-cys domain","TB module/8-cys domain"
"FBN1","2200","NP_000129.3","22","284-330","EGF/Laminin","EGF-type module"
"FBN1","2200","NP_000129.3","15","325-391","TB module/8-cys domain","TB module/8-cys domain"
"FBN1","2200","NP_000129.3","7","448-576","Growth factor receptor domain","Growth factor receptor domain"
"FBN1","2200","NP_000129.3","3","534-654","Growth factor receptor domain","Growth factor receptor domain"
"FBN1","2200","NP_000129.3","17","649-719","TB module/8-cys domain","TB module/8-cys domain"
"FBN1","2200","NP_000129.3","20","723-849","Growth factor receptor domain","Growth factor receptor domain"
"FBN1","2200","NP_000129.3","16","844-928","TB module/8-cys domain","TB module/8-cys domain"
"FBN1","2200","NP_000129.3","2","947-1016","TB module/8-cys domain","TB module/8-cys domain"
"FBN1","2200","NP_000129.3","6","1025-1155","Growth factor receptor domain","Growth factor receptor domain"
"FBN1","2200","NP_000129.3","19","1153-1209","EGF/Laminin","EGF-type module"
"FBN1","2200","NP_000129.3","11","1194-1333","Growth factor receptor domain","Growth factor receptor domain"
"FBN1","2200","NP_000129.3","12","1316-1450","Growth factor receptor domain","Growth factor receptor domain"
"FBN1","2200","NP_000129.3","26","1439-1487","EGF/Laminin","EGF-type module"
"FBN1","2200","NP_000129.3","27","1481-1528","EGF/Laminin","EGF-type module"
"FBN1","2200","NP_000129.3","10","1530-1625","TB module/8-cys domain","TB module/8-cys domain"
"FBN1","2200","NP_000129.3","21","1604-1653","EGF/Laminin","EGF-type module"
"FBN1","2200","NP_000129.3","31","1646-1689","EGF/Laminin","EGF-type module"
"FBN1","2200","NP_000129.3","14","1684-1750","TB module/8-cys domain","TB module/8-cys domain"
"FBN1","2200","NP_000129.3","23","1765-1813","EGF/Laminin","EGF-type module"
"FBN1","2200","NP_000129.3","30","1808-1844","EGF/Laminin","EGF-type module"
"FBN1","2200","NP_000129.3","1","1846-1977","Growth factor receptor domain","Growth factor receptor domain"
"FBN1","2200","NP_000129.3","25","1966-2008","EGF/Laminin","EGF-type module"
"FBN1","2200","NP_000129.3","24","2007-2055","EGF/Laminin","EGF-type module"
"FBN1","2200","NP_000129.3","5","2052-2121","TB module/8-cys domain","TB module/8-cys domain"
"FBN1","2200","NP_000129.3","9","2129-2258","Growth factor receptor domain","Growth factor receptor domain"
"FBN1","2200","NP_000129.3","28","2221-2339","Growth factor receptor domain","Growth factor receptor domain"
"FBN1","2200","NP_000129.3","4","2331-2403","TB module/8-cys domain","TB module/8-cys domain"
"FBN1","2200","NP_000129.3","29","2402-2450","EGF/Laminin","EGF-type module"
"FBN1","2200","NP_000129.3","8","2446-2571","Growth factor receptor domain","Growth factor receptor domain"
"FBN1","2200","NP_000129.3","18","2571-2687","Growth factor receptor domain","Growth factor receptor domain"
"FBXO32","114907","NP_001229392.1","1","124-239","F-box domain","F-box domain"
"FBXO32","114907","NP_478136.1","1","218-332","F-box domain","F-box domain"
"FBXO32","114907","NP_680482.1","1","73-187","F-box domain","F-box domain"
"FBXW7","55294","NP_001013433.1","2","146-245","F-box domain","F-box domain"
"FBXW7","55294","NP_001013433.1","1","250-574","WD40 repeat-like","WD40-repeat"
"FBXW7","55294","NP_060785.2","2","184-283","F-box domain","F-box domain"
"FBXW7","55294","NP_060785.2","1","288-612","WD40 repeat-like","WD40-repeat"
"FBXW7","55294","NP_361014.1","2","184-283","F-box domain","F-box domain"
"FBXW7","55294","NP_361014.1","1","288-612","WD40 repeat-like","WD40-repeat"
"FGF2","2247","NP_001997.5","1","136-286","Cytokine","Fibroblast growth factors (FGF)"
"FGFR1","2260","NP_001167534.1","4","40-126","Immunoglobulin","I set domains"
"FGFR1","2260","NP_001167534.1","3","163-249","Immunoglobulin","I set domains"
"FGFR1","2260","NP_001167534.1","2","255-358","Immunoglobulin","I set domains"
"FGFR1","2260","NP_001167534.1","1","466-752","Protein kinase-like (PK-like)","Protein kinases; catalytic subunit"
"FGFR1","2260","NP_001167535.1","4","32-118","Immunoglobulin","I set domains"
"FGFR1","2260","NP_001167535.1","3","155-241","Immunoglobulin","I set domains"
"FGFR1","2260","NP_001167535.1","2","247-350","Immunoglobulin","I set domains"
"FGFR1","2260","NP_001167535.1","1","458-744","Protein kinase-like (PK-like)","Protein kinases; catalytic subunit"
"FGFR1","2260","NP_001167537.1","3","74-160","Immunoglobulin","I set domains"
"FGFR1","2260","NP_001167537.1","2","166-269","Immunoglobulin","I set domains"
"FGFR1","2260","NP_001167537.1","1","379-665","Protein kinase-like (PK-like)","Protein kinases; catalytic subunit"
"FGFR1","2260","NP_001167538.1","4","73-159","Immunoglobulin","I set domains"
"FGFR1","2260","NP_001167538.1","3","195-280","Immunoglobulin","I set domains"
"FGFR1","2260","NP_001167538.1","2","286-389","Immunoglobulin","I set domains"
"FGFR1","2260","NP_001167538.1","1","499-785","Protein kinase-like (PK-like)","Protein kinases; catalytic subunit"
"FGFR1","2260","NP_056934.2","4","40-126","Immunoglobulin","I set domains"
"FGFR1","2260","NP_056934.2","3","162-247","Immunoglobulin","I set domains"
"FGFR1","2260","NP_056934.2","2","253-356","Immunoglobulin","I set domains"
"FGFR1","2260","NP_056934.2","1","466-752","Protein kinase-like (PK-like)","Protein kinases; catalytic subunit"
"FGFR1","2260","NP_075593.1","3","74-160","Immunoglobulin","I set domains"
"FGFR1","2260","NP_075593.1","2","166-269","Immunoglobulin","I set domains"
"FGFR1","2260","NP_075593.1","1","379-665","Protein kinase-like (PK-like)","Protein kinases; catalytic subunit"
"FGFR1","2260","NP_075594.1","3","73-158","Immunoglobulin","I set domains"
"FGFR1","2260","NP_075594.1","2","164-267","Immunoglobulin","I set domains"
"FGFR1","2260","NP_075594.1","1","377-663","Protein kinase-like (PK-like)","Protein kinases; catalytic subunit"
"FGFR1","2260","NP_075598.2","4","40-126","Immunoglobulin","I set domains"
"FGFR1","2260","NP_075598.2","3","163-249","Immunoglobulin","I set domains"
"FGFR1","2260","NP_075598.2","2","255-358","Immunoglobulin","I set domains"
"FGFR1","2260","NP_075598.2","1","468-754","Protein kinase-like (PK-like)","Protein kinases; catalytic subunit"
"FHIT","2272","NP_001159715.1","1","3-146","HIT-like","HIT (HINT; histidine triad) family of protein kinase-interacting proteins"
"FHIT","2272","NP_002003.1","1","3-146","HIT-like","HIT (HINT; histidine triad) family of protein kinase-interacting proteins"
"FLRT2","23768","NP_037363.1","1","80-360","L domain-like","Ngr ectodomain-like"
"FLRT2","23768","NP_037363.1","2","417-496","Fibronectin type III","Fibronectin type III"
"FOLH1","2346","NP_001014986.1","2","115-359","PA domain","PA domain"
"FOLH1","2346","NP_001014986.1","1","61-108;341-592","Zn-dependent exopeptidases","FolH catalytic domain-like"
"FOLH1","2346","NP_001014986.1","3","594-717","Transferrin receptor-like dimerisation domain","Transferrin receptor-like dimerisation domain"
"FOLH1","2346","NP_001180400.1","2","100-344","PA domain","PA domain"
"FOLH1","2346","NP_001180400.1","1","46-93;326-577","Zn-dependent exopeptidases","FolH catalytic domain-like"
"FOLH1","2346","NP_001180400.1","3","579-733","Transferrin receptor-like dimerisation domain","Transferrin receptor-like dimerisation domain"
"FOLH1","2346","NP_001180401.1","2","100-344","PA domain","PA domain"
"FOLH1","2346","NP_001180401.1","1","46-93;326-577","Zn-dependent exopeptidases","FolH catalytic domain-like"
"FOLH1","2346","NP_001180401.1","3","579-702","Transferrin receptor-like dimerisation domain","Transferrin receptor-like dimerisation domain"
"FOLH1","2346","NP_001180402.1","1","29-284","Zn-dependent exopeptidases","FolH catalytic domain-like"
"FOLH1","2346","NP_001180402.1","2"," 286-440","Transferrin receptor-like dimerisation domain","Transferrin receptor-like dimerisation domain"
