"Gene_Name","Gene_ID","Protein_ID","Family_A","Description_A","Entry_Type_A","Clan_A","Envelope_Start_A","Envelope_End_A","Alignment_Start_A","ALignment_End_A","HMM_From_A","HMM_To_A","BIT_Score_A","E_Value_A","Predicted_Active_Sites"
"CTNNB1","1499","NP_001091679.1","Arm","Armadillo/beta-catenin-like repeat","Repeat","CL0020","395","429","400","428","12","40","22.50","5.70E-05","n/a"
"CTNNB1","1499","NP_001091679.1","Arm","Armadillo/beta-catenin-like repeat","Repeat","CL0020","431","473","432","473","2","41","24.90","9.40E-06","n/a"
"CTNNB1","1499","NP_001091679.1","Arm","Armadillo/beta-catenin-like repeat","Repeat","CL0020","583","623","584","622","2","40","31.10","1.10E-07","n/a"
"CTNNB1","1499","NP_001091680.1","Arm","Armadillo/beta-catenin-like repeat","Repeat","CL0020","224","264","229","262","6","39","28.10","9.70E-07","n/a"
"CTNNB1","1499","NP_001091680.1","Arm","Armadillo/beta-catenin-like repeat","Repeat","CL0020","350","390","350","390","1","41","33.40","2.00E-08","n/a"
"CTNNB1","1499","NP_001091680.1","Arm","Armadillo/beta-catenin-like repeat","Repeat","CL0020","395","429","400","428","12","40","22.50","5.70E-05","n/a"
"CTNNB1","1499","NP_001091680.1","Arm","Armadillo/beta-catenin-like repeat","Repeat","CL0020","431","473","432","473","2","41","24.90","9.40E-06","n/a"
"CTNNB1","1499","NP_001091680.1","Arm","Armadillo/beta-catenin-like repeat","Repeat","CL0020","583","623","584","622","2","40","31.10","1.10E-07","n/a"
"CTNNB1","1499","NP_001895.1","Arm","Armadillo/beta-catenin-like repeat","Repeat","CL0020","224","264","229","262","6","39","28.10","9.70E-07","n/a"
"CTNNB1","1499","NP_001895.1","Arm","Armadillo/beta-catenin-like repeat","Repeat","CL0020","350","390","350","390","1","41","33.40","2.00E-08","n/a"
"CTNNB1","1499","NP_001895.1","Arm","Armadillo/beta-catenin-like repeat","Repeat","CL0020","395","429","400","428","12","40","22.50","5.70E-05","n/a"
"CTNNB1","1499","NP_001895.1","Arm","Armadillo/beta-catenin-like repeat","Repeat","CL0020","431","473","432","473","2","41","24.90","9.40E-06","n/a"
"CTNNB1","1499","NP_001895.1","Arm","Armadillo/beta-catenin-like repeat","Repeat","CL0020","583","623","584","622","2","40","31.10","1.10E-07","n/a"
"CTNND1","1500","NP_001078927.1","Arm","Armadillo/beta-catenin-like repeat","Repeat","CL0020","397","437","398","436","2","40","25.00","9.40E-06","n/a"
"CTNND1","1500","NP_001078927.1","Arm","Armadillo/beta-catenin-like repeat","Repeat","CL0020","440","481","440","481","1","41","30.50","1.70E-07","n/a"
"CTNND1","1500","NP_001078927.1","Arm","Armadillo/beta-catenin-like repeat","Repeat","CL0020","701","739","703","738","5","40","25.10","8.40E-06","n/a"
"CTNND1","1500","NP_001078928.1","Arm","Armadillo/beta-catenin-like repeat","Repeat","CL0020","397","437","398","436","2","40","25.00","9.30E-06","n/a"
"CTNND1","1500","NP_001078928.1","Arm","Armadillo/beta-catenin-like repeat","Repeat","CL0020","440","481","440","481","1","41","30.50","1.70E-07","n/a"
"CTNND1","1500","NP_001078928.1","Arm","Armadillo/beta-catenin-like repeat","Repeat","CL0020","695","733","697","732","5","40","25.10","8.40E-06","n/a"
"CTNND1","1500","NP_001078929.1","Arm","Armadillo/beta-catenin-like repeat","Repeat","CL0020","397","437","398","436","2","40","25.00","9.00E-06","n/a"
"CTNND1","1500","NP_001078929.1","Arm","Armadillo/beta-catenin-like repeat","Repeat","CL0020","440","481","440","481","1","41","30.50","1.70E-07","n/a"
"CTNND1","1500","NP_001078929.1","Arm","Armadillo/beta-catenin-like repeat","Repeat","CL0020","695","733","697","732","5","40","25.20","8.10E-06","n/a"
"CTNND1","1500","NP_001078930.1","Arm","Armadillo/beta-catenin-like repeat","Repeat","CL0020","397","437","398","436","2","40","25.00","9.00E-06","n/a"
"CTNND1","1500","NP_001078930.1","Arm","Armadillo/beta-catenin-like repeat","Repeat","CL0020","440","481","440","481","1","41","30.50","1.70E-07","n/a"
"CTNND1","1500","NP_001078930.1","Arm","Armadillo/beta-catenin-like repeat","Repeat","CL0020","695","733","697","732","5","40","25.20","8.10E-06","n/a"
"CTNND1","1500","NP_001078931.1","Arm","Armadillo/beta-catenin-like repeat","Repeat","CL0020","397","437","398","436","2","40","25.00","9.00E-06","n/a"
"CTNND1","1500","NP_001078931.1","Arm","Armadillo/beta-catenin-like repeat","Repeat","CL0020","440","481","440","481","1","41","30.50","1.70E-07","n/a"
"CTNND1","1500","NP_001078931.1","Arm","Armadillo/beta-catenin-like repeat","Repeat","CL0020","695","733","697","732","5","40","25.20","8.10E-06","n/a"
"CTNND1","1500","NP_001078932.1","Arm","Armadillo/beta-catenin-like repeat","Repeat","CL0020","296","336","297","335","2","40","25.10","8.30E-06","n/a"
"CTNND1","1500","NP_001078932.1","Arm","Armadillo/beta-catenin-like repeat","Repeat","CL0020","339","380","339","380","1","41","30.60","1.50E-07","n/a"
"CTNND1","1500","NP_001078932.1","Arm","Armadillo/beta-catenin-like repeat","Repeat","CL0020","600","638","602","637","5","40","25.30","7.40E-06","n/a"
"CTNND1","1500","NP_001078933.1","Arm","Armadillo/beta-catenin-like repeat","Repeat","CL0020","296","336","297","335","2","40","25.10","8.20E-06","n/a"
"CTNND1","1500","NP_001078933.1","Arm","Armadillo/beta-catenin-like repeat","Repeat","CL0020","339","380","339","380","1","41","30.60","1.50E-07","n/a"
"CTNND1","1500","NP_001078933.1","Arm","Armadillo/beta-catenin-like repeat","Repeat","CL0020","594","632","596","631","5","40","25.30","7.30E-06","n/a"
"CTNND1","1500","NP_001078934.1","Arm","Armadillo/beta-catenin-like repeat","Repeat","CL0020","296","336","297","335","2","40","25.20","7.90E-06","n/a"
"CTNND1","1500","NP_001078934.1","Arm","Armadillo/beta-catenin-like repeat","Repeat","CL0020","339","380","339","380","1","41","30.70","1.50E-07","n/a"
"CTNND1","1500","NP_001078934.1","Arm","Armadillo/beta-catenin-like repeat","Repeat","CL0020","594","632","596","631","5","40","25.30","7.10E-06","n/a"
"CTNND1","1500","NP_001078935.1","Arm","Armadillo/beta-catenin-like repeat","Repeat","CL0020","296","336","297","335","2","40","25.20","7.90E-06","n/a"
"CTNND1","1500","NP_001078935.1","Arm","Armadillo/beta-catenin-like repeat","Repeat","CL0020","339","380","339","380","1","41","30.70","1.50E-07","n/a"
"CTNND1","1500","NP_001078935.1","Arm","Armadillo/beta-catenin-like repeat","Repeat","CL0020","600","638","602","637","5","40","25.30","7.10E-06","n/a"
"CTNND1","1500","NP_001078936.1","Arm","Armadillo/beta-catenin-like repeat","Repeat","CL0020","296","336","297","335","2","40","25.20","7.90E-06","n/a"
"CTNND1","1500","NP_001078936.1","Arm","Armadillo/beta-catenin-like repeat","Repeat","CL0020","339","380","339","380","1","41","30.70","1.40E-07","n/a"
"CTNND1","1500","NP_001078936.1","Arm","Armadillo/beta-catenin-like repeat","Repeat","CL0020","594","632","596","631","5","40","25.30","7.10E-06","n/a"
"CTNND1","1500","NP_001078937.1","Arm","Armadillo/beta-catenin-like repeat","Repeat","CL0020","296","336","297","335","2","40","25.20","7.90E-06","n/a"
"CTNND1","1500","NP_001078937.1","Arm","Armadillo/beta-catenin-like repeat","Repeat","CL0020","339","380","339","380","1","41","30.70","1.40E-07","n/a"
"CTNND1","1500","NP_001078937.1","Arm","Armadillo/beta-catenin-like repeat","Repeat","CL0020","594","632","596","631","5","40","25.30","7.10E-06","n/a"
"CTNND1","1500","NP_001078938.1","Arm","Armadillo/beta-catenin-like repeat","Repeat","CL0020","296","336","297","335","2","40","25.20","7.90E-06","n/a"
"CTNND1","1500","NP_001078938.1","Arm","Armadillo/beta-catenin-like repeat","Repeat","CL0020","339","380","339","380","1","41","30.70","1.40E-07","n/a"
"CTNND1","1500","NP_001078938.1","Arm","Armadillo/beta-catenin-like repeat","Repeat","CL0020","594","632","596","631","5","40","25.30","7.10E-06","n/a"
"CTNND1","1500","NP_001322.1","Arm","Armadillo/beta-catenin-like repeat","Repeat","CL0020","397","437","398","436","2","40","25.00","9.10E-06","n/a"
"CTNND1","1500","NP_001322.1","Arm","Armadillo/beta-catenin-like repeat","Repeat","CL0020","440","481","440","481","1","41","30.50","1.70E-07","n/a"
"CTNND1","1500","NP_001322.1","Arm","Armadillo/beta-catenin-like repeat","Repeat","CL0020","695","733","697","732","5","40","25.10","8.20E-06","n/a"
"CTSB","1508","NP_001899.1","Peptidase_C1","Papain family cysteine protease","Domain","CL0125","80","329","80","328","1","219","229.80","2.70E-68","278;298;108"
"CTSB","1508","NP_680090.1","Peptidase_C1","Papain family cysteine protease","Domain","CL0125","80","329","80","328","1","219","229.80","2.70E-68","278;298;108"
"CTSB","1508","NP_680091.1","Peptidase_C1","Papain family cysteine protease","Domain","CL0125","80","329","80","328","1","219","229.80","2.70E-68","278;298;108"
"CTSB","1508","NP_680092.1","Peptidase_C1","Papain family cysteine protease","Domain","CL0125","80","329","80","328","1","219","229.80","2.70E-68","278;298;108"
"CTSB","1508","NP_680093.1","Peptidase_C1","Papain family cysteine protease","Domain","CL0125","80","329","80","328","1","219","229.80","2.70E-68","278;298;108"
"CTSB","1508","NP_001899.1","Propeptide_C1","Peptidase family C1 propeptide","Motif","n/a","26","66","26","66","1","41","66.20","1.10E-18","n/a"
"CTSB","1508","NP_680090.1","Propeptide_C1","Peptidase family C1 propeptide","Motif","n/a","26","66","26","66","1","41","66.20","1.10E-18","n/a"
"CTSB","1508","NP_680091.1","Propeptide_C1","Peptidase family C1 propeptide","Motif","n/a","26","66","26","66","1","41","66.20","1.10E-18","n/a"
"CTSB","1508","NP_680092.1","Propeptide_C1","Peptidase family C1 propeptide","Motif","n/a","26","66","26","66","1","41","66.20","1.10E-18","n/a"
"CTSB","1508","NP_680093.1","Propeptide_C1","Peptidase family C1 propeptide","Motif","n/a","26","66","26","66","1","41","66.20","1.10E-18","n/a"
"CTSD","1509","NP_001900.1","A1_Propeptide","A1 Propeptide","Motif","n/a","21","49","21","47","1","27","37.20","1.30E-09","n/a"
"CTSD","1509","NP_001900.1","Asp","Eukaryotic aspartyl protease","Family","CL0129","78","409","78","409","1","314","395.20","1.70E-118","295;97"
"CTSH","1512","NP_004381.2","Inhibitor_I29","Cathepsin propeptide inhibitor domain (I29)","Domain","n/a","35","90","35","89","1","57","66.10","2.00E-18","n/a"
"CTSH","1512","NP_004381.2","Peptidase_C1","Papain family cysteine protease","Domain","CL0125","116","332","117","332","2","220","266.50","1.60E-79","281;301;141"
"CTSW","1521","NP_001326.2","Inhibitor_I29","Cathepsin propeptide inhibitor domain (I29)","Domain","n/a","42","99","42","99","1","58","40.10","2.70E-10","n/a"
"CTSW","1521","NP_001326.2","Peptidase_C1","Papain family cysteine protease","Domain","CL0125","128","362","128","359","1","217","219.50","4.00E-65","291;331;153"
"CXCL12","6387","NP_000600.1","IL8","Small cytokines (intecrine/chemokine); interleukin-8 like","Domain","n/a","24","87","29","85","7","64","40.00","2.20E-10","n/a"
"CXCL12","6387","NP_001029058.1","IL8","Small cytokines (intecrine/chemokine); interleukin-8 like","Domain","n/a","24","87","29","85","7","64","39.10","4.40E-10","n/a"
"CXCL12","6387","NP_001171605.1","IL8","Small cytokines (intecrine/chemokine); interleukin-8 like","Domain","n/a","24","87","29","85","7","64","38.50","6.60E-10","n/a"
"CXCL12","6387","NP_954637.1","IL8","Small cytokines (intecrine/chemokine); interleukin-8 like","Domain","n/a","24","87","29","85","7","64","40.20","1.90E-10","n/a"
"CXCL17","284340","NP_940879.1","-","-","-","-","0","0","0","0","0","0","0.00","-","-"
"CXCL5","6374","NP_002985.1","IL8","Small cytokines (intecrine/chemokine); interleukin-8 like","Domain","n/a","41","107","49","106","8","65","58.40","4.10E-16","n/a"
"CXCL9","4283","NP_002407.1","IL8","Small cytokines (intecrine/chemokine); interleukin-8 like","Domain","n/a","25","89","29","89","7","65","57.40","8.30E-16","n/a"
"CXCR4","7852","NP_001008540.1","7tm_1","7 transmembrane receptor (rhodopsin family)","Family","CL0192","59","306","59","306","1","257","194.90","1.00E-57","n/a"
"CXCR4","7852","NP_003458.1","7tm_1","7 transmembrane receptor (rhodopsin family)","Family","CL0192","55","302","55","302","1","257","195.00","9.70E-58","n/a"
"CXCR4","7852","NP_001008540.1","CXCR4_N","CXCR4 Chemokine receptor N terminal","Domain","n/a","10","42","10","41","1","32","71.60","2.50E-20","n/a"
"CXCR4","7852","NP_003458.1","CXCR4_N","CXCR4 Chemokine receptor N terminal","Domain","n/a","6","38","6","37","1","32","71.70","2.50E-20","n/a"
"CYP17A1","1586","NP_000093.1","p450","Cytochrome P450","Domain","n/a","28","493","28","492","1","462","473.30","5.30E-142","n/a"
"CYP19A1","1588","NP_000094.2","p450","Cytochrome P450","Domain","n/a","46","488","50","484","6","459","337.70","7.20E-101","n/a"
"CYP19A1","1588","NP_112503.1","p450","Cytochrome P450","Domain","n/a","46","488","50","484","6","459","337.70","7.20E-101","n/a"
"CYP1A1","1543","NP_000490.1","p450","Cytochrome P450","Domain","n/a","40","501","40","491","1","446","362.30","2.40E-108","n/a"
"CYP1B1","1545","NP_000095.2","p450","Cytochrome P450","Domain","n/a","51","520","51","519","1","462","337.40","8.90E-101","n/a"
"CYP39A1","51302","NP_057677.2","p450","Cytochrome P450","Domain","n/a","29","463","29","457","1","457","180.80","2.80E-53","n/a"
"CYP39A1","51302","NP_057677.2","Vg_Tdu","Vestigial/Tondu family","Family","n/a","21","53","21","52","1","32","77.50","2.80E-22","n/a"
"CYP3A7","1551","NP_000756.2","p450","Cytochrome P450","Domain","n/a","38","493","39","492","2","462","428.40","2.20E-128","n/a"
"CYP4X1","260293","NP_828847.1","p450","Cytochrome P450","Domain","n/a","46","502","47","500","1","461","392.30","1.90E-117","n/a"
"Cyr61","3491","NP_001545.2","Cys_knot","Cystine-knot domain","Domain","CL0079","283","375","284","366","2","95","59.90","1.70E-16","n/a"
"Cyr61","3491","NP_001545.2","IGFBP","Insulin-like growth factor binding protein","Domain","n/a","25","78","26","78","1","53","45.30","7.60E-12","n/a"
"Cyr61","3491","NP_001545.2","TSP_1","Thrombospondin type 1 domain","Family","n/a","231","272","232","272","2","49","35.20","7.90E-09","n/a"
"Cyr61","3491","NP_001545.2","VWC","von Willebrand factor type C domain","Family","CL0451","100","163","100","163","1","57","39.30","4.00E-10","n/a"
"DAB2IP","153090","NP_115941.2","C2","C2 domain","Domain","CL0154","187","267","187","255","1","77","26.20","4.10E-06","n/a"
"DAB2IP","153090","NP_619723.1","C2","C2 domain","Domain","CL0154","91","171","91","159","1","77","26.30","3.80E-06","n/a"
"DAB2IP","153090","NP_115941.2","DUF3498","Domain of unknown function (DUF3498)","Family","n/a","618","1131","618","1129","1","493","624.50","1.30E-187","n/a"
"DAB2IP","153090","NP_619723.1","DUF3498","Domain of unknown function (DUF3498)","Family","n/a","522","1035","522","1035","1","495","630.60","1.90E-189","n/a"
"DAB2IP","153090","NP_115941.2","RasGAP","GTPase-activator protein for Ras-like GTPase","Family","CL0409","364","535","364","535","1","197","140.80","3.30E-41","n/a"
"DAB2IP","153090","NP_619723.1","RasGAP","GTPase-activator protein for Ras-like GTPase","Family","CL0409","268","439","268","439","1","197","140.90","3.00E-41","n/a"
"DACH1","1602","NP_004383.3","Ski_Sno","SKI/SNO/DAC family","Family","n/a","168","284","170","284","2","114","168.00","3.50E-50","n/a"
"DACH1","1602","NP_542937.2","Ski_Sno","SKI/SNO/DAC family","Family","n/a","168","284","170","284","2","114","167.30","6.00E-50","n/a"
"DACH1","1602","NP_542938.2","Ski_Sno","SKI/SNO/DAC family","Family","n/a","168","284","170","284","2","114","167.80","4.10E-50","n/a"
"DARS","1615","NP_001340.2","tRNA_anti","OB-fold nucleic acid binding domain","Domain","CL0021","60","145","60","145","1","76","35.70","4.40E-09","n/a"
"DARS","1615","NP_001340.2","tRNA-synt_2","tRNA synthetases class II (D; K and N)","Family","CL0040","175","497","175","495","1","332","277.20","1.10E-82","n/a"
"DDR1","780","NP_001189450.1","F5_F8_type_C","F5/8 type C domain","Domain","CL0202","46","182","47","182","2","129","75.70","2.20E-21","n/a"
"DDR1","780","NP_001189451.1","F5_F8_type_C","F5/8 type C domain","Domain","CL0202","46","182","47","182","2","129","74.70","4.40E-21","n/a"
"DDR1","780","NP_001189452.1","F5_F8_type_C","F5/8 type C domain","Domain","CL0202","64","200","65","200","2","129","74.40","5.60E-21","n/a"
"DDR1","780","NP_001945.3","F5_F8_type_C","F5/8 type C domain","Domain","CL0202","46","182","47","182","2","129","74.40","5.40E-21","n/a"
"DDR1","780","NP_054699.2","F5_F8_type_C","F5/8 type C domain","Domain","CL0202","47","183","48","183","2","129","74.40","5.80E-21","n/a"
"DDR1","780","NP_054700.2","F5_F8_type_C","F5/8 type C domain","Domain","CL0202","46","182","47","182","2","129","74.30","5.90E-21","n/a"
"DDR1","780","NP_001189451.1","Pkinase_Tyr","Protein tyrosine kinase","Domain","CL0016","494","759","501","759","26","259","265.00","4.20E-79","620"
"DDR1","780","NP_001189452.1","Pkinase_Tyr","Protein tyrosine kinase","Domain","CL0016","591","886","591","886","1","259","282.10","2.50E-84","747"
"DDR1","780","NP_001945.3","Pkinase_Tyr","Protein tyrosine kinase","Domain","CL0016","573","868","573","868","1","259","282.20","2.40E-84","729"
"DDR1","780","NP_054699.2","Pkinase_Tyr","Protein tyrosine kinase","Domain","CL0016","611","906","611","906","1","259","282.00","2.60E-84","767"
"DDR1","780","NP_054700.2","Pkinase_Tyr","Protein tyrosine kinase","Domain","CL0016","610","911","610","911","1","259","273.10","1.40E-81","772"
"DEPDC1","55635","NP_001107592.1","DEP","Domain found in Dishevelled; Egl-10; and Pleckstrin (DEP)","Domain","n/a","27","106","27","106","1","74","56.90","1.00E-15","n/a"
"DEPDC1","55635","NP_060249.2","DEP","Domain found in Dishevelled; Egl-10; and Pleckstrin (DEP)","Domain","n/a","27","106","27","106","1","74","57.80","5.50E-16",""
"DEPDC1","55635","NP_060249.2","RhoGAP","RhoGAP domain","Domain","CL0409","272","364","278","349","60","128","36.00","3.90E-09","n/a"
"DHX16","8449","NP_001157711.1","DEAD","DEAD/DEAH box helicase","Domain","CL0023","342","502","345","496","4","161","32.60","4.00E-08","n/a"
"DHX16","8449","NP_003578.2","DEAD","DEAD/DEAH box helicase","Domain","CL0023","402","562","405","556","4","161","32.40","4.40E-08","n/a"
"DHX16","8449","NP_001157711.1","HA2","Helicase associated domain (HA2)","Domain","n/a","731","822","732","822","2","102","84.10","4.50E-24","n/a"
"DHX16","8449","NP_003578.2","HA2","Helicase associated domain (HA2)","Domain","n/a","791","882","792","882","2","102","84.00","4.80E-24","n/a"
"DHX16","8449","NP_001157711.1","Helicase_C","Helicase conserved C-terminal domain","Family","CL0023","577","670","582","669","8","77","41.20","9.10E-11","n/a"
"DHX16","8449","NP_003578.2","Helicase_C","Helicase conserved C-terminal domain","Family","CL0023","637","730","642","729","8","77","41.10","9.80E-11","n/a"
"DHX16","8449","NP_001157711.1","OB_NTP_bind","Oligonucleotide/oligosaccharide-binding (OB)-fold","Domain","CL0021","856","955","857","955","2","111","105.40","1.00E-30","n/a"
"DHX16","8449","NP_003578.2","OB_NTP_bind","Oligonucleotide/oligosaccharide-binding (OB)-fold","Domain","CL0021","916","1015","917","1015","2","111","105.30","1.10E-30","n/a"
"DKK4","27121","NP_055235.1","Dickkopf_N","Dickkopf N-terminal cysteine-rich region","Family","n/a","40","92","40","91","1","51","68.20","4.00E-19","n/a"
"DKK4","27121","NP_055235.1","Prokineticin","Prokineticin","Family","n/a","135","213","144","204","25","88","22.70","6.40E-05","n/a"
"DLX5","1749","NP_005212.1","Homeobox","Homeobox domain","Domain","CL0123","138","194","138","194","1","57","71.40","2.80E-20","n/a"
"DLX5","1749","NP_005212.1","DLL_N","Homeobox protein distal-less-like N terminal","Family","n/a","32","118","32","117","1","85","90.60","8.20E-26","n/a"
"DNAJA2","10294","NP_005871.1","DnaJ_C","DnaJ C terminal domain","Domain","n/a","266","349","266","340","1","73","79.60","9.30E-23","n/a"
"DNAJA2","10294","NP_005871.1","DnaJ_CXXCXGXG","DnaJ central domain","Domain","n/a","143","209","143","209","1","66","58.20","5.20E-16","n/a"
"DNAJA2","10294","NP_005871.1","DnaJ","DnaJ domain","Domain","CL0392","8","67","9","67","2","64","94.60","1.70E-27","n/a"
"DNMT1","1786","NP_001124295.1","BAH","BAH domain","Domain","n/a","771","896","771","895","1","117","77.30","5.90E-22","n/a"
"DNMT1","1786","NP_001124295.1","BAH","BAH domain","Domain","n/a","947","1116","949","1115","3","117","68.20","4.00E-19","n/a"
"DNMT1","1786","NP_001370.1","BAH","BAH domain","Domain","n/a","755","880","755","879","1","117","77.30","5.80E-22","n/a"
"DNMT1","1786","NP_001370.1","BAH","BAH domain","Domain","n/a","931","1100","933","1099","3","117","68.20","3.90E-19","n/a"
"DNMT1","1786","NP_001124295.1","DNA_methylase","C-5 cytosine-specific DNA methylase","Domain","CL0063","1155","1610","1156","1609","2","334","161.40","2.30E-47","1242"
"DNMT1","1786","NP_001370.1","DNA_methylase","C-5 cytosine-specific DNA methylase","Domain","CL0063","1139","1594","1140","1593","2","334","161.50","2.30E-47","1226"
"DNMT1","1786","NP_001124295.1","zf-CXXC","CXXC zinc finger domain","Domain","n/a","661","707","662","707","2","48","53.50","1.20E-14","n/a"
"DNMT1","1786","NP_001370.1","zf-CXXC","CXXC zinc finger domain","Domain","n/a","645","691","646","691","2","48","53.50","1.20E-14","n/a"
"DNMT1","1786","NP_001124295.1","DNMT1-RFD","Cytosine specific DNA methyltransferase replication foci domain","Domain","n/a","415","550","416","549","2","145","131.80","1.20E-38","n/a"
"DNMT1","1786","NP_001370.1","DNMT1-RFD","Cytosine specific DNA methyltransferase replication foci domain","Domain","n/a","399","534","400","533","2","145","131.80","1.20E-38","n/a"
"DNMT1","1786","NP_001124295.1","DMAP_binding","DMAP1-binding Domain","Domain","n/a","16","105","18","103","3","108","74.80","6.10E-21","n/a"
"DNMT1","1786","NP_001370.1","DMAP_binding","DMAP1-binding Domain","Domain","n/a","16","105","18","103","3","108","74.80","6.00E-21","n/a"
"DPP6","1804","NP_001034439.1","DPPIV_N","Dipeptidyl peptidase IV (DPP IV) N-terminal region","Family","CL0186","131","497","131","497","1","353","377.00","4.80E-113","n/a"
"DPP6","1804","NP_001034439.1","Peptidase_S9","Prolyl oligopeptidase family","Family","CL0028","577","786","578","785","2","212","130.60","3.60E-38","760"
"DPP6","1804","NP_001927.3","DPPIV_N","Dipeptidyl peptidase IV (DPP IV) N-terminal region","Family","CL0186","133","499","133","499","1","353","377.00","4.80E-113","n/a"
"DPP6","1804","NP_001927.3","Peptidase_S9","Prolyl oligopeptidase family","Family","CL0028","579","788","580","787","2","212","130.60","3.60E-38","762"
"DPP6","1804","NP_570629.2","DPPIV_N","Dipeptidyl peptidase IV (DPP IV) N-terminal region","Family","CL0186","195","561","195","561","1","353","376.80","5.70E-113","n/a"
"DPP6","1804","NP_570629.2","Peptidase_S9","Prolyl oligopeptidase family","Family","CL0028","641","850","642","849","2","212","130.40","4.10E-38","824"
"ECM2","1842","NP_001184224.1","VWC","von Willebrand factor type C domain","Family","CL0451","103","157","103","157","1","57","42.10","5.60E-11","n/a"
"ECM2","1842","NP_001184224.1","LRR_4","Leucine Rich repeats (2 copies)","Family","CL0022","321","369","321","359","1","38","31.20","9.50E-08","n/a"
"ECM2","1842","NP_001184224.1","LRR_1","Leucine Rich Repeat","Repeat","CL0022","514","539","514","531","1","18","10.60","0.39","n/a"
"ECM2","1842","NP_001184224.1","LRR_4","Leucine Rich repeats (2 copies)","Family","CL0022","586","631","587","624","2","39","27.50","1.30E-06","n/a"
"ECM2","1842","NP_001184225.1","VWC","von Willebrand factor type C domain","Family","CL0451","103","157","103","157","1","57","42.20","5.20E-11","n/a"
"ECM2","1842","NP_001184225.1","LRR_4","Leucine Rich repeats (2 copies)","Family","CL0022","321","369","321","359","1","38","31.30","9.00E-08","n/a"
"ECM2","1842","NP_001184225.1","LRR_1","Leucine Rich Repeat","Repeat","CL0022","514","539","514","531","1","18","10.70","0.37","n/a"
"ECM2","1842","NP_001184225.1","LRR_4","Leucine Rich repeats (2 copies)","Family","CL0022","586","630","587","625","2","40","27.40","1.40E-06","n/a"
"ECM2","1842","NP_001384.1","VWC","von Willebrand factor type C domain","Family","CL0451","103","157","103","157","1","57","42.00","5.80E-11","n/a"
"ECM2","1842","NP_001384.1","LRR_4","Leucine Rich repeats (2 copies)","Family","CL0022","343","391","343","381","1","38","31.10","1.00E-07","n/a"
"ECM2","1842","NP_001384.1","LRR_1","Leucine Rich Repeat","Repeat","CL0022","536","561","536","553","1","18","10.60","0.41","n/a"
"ECM2","1842","NP_001384.1","LRR_4","Leucine Rich repeats (2 copies)","Family","CL0022","608","653","609","646","2","39","27.50","1.40E-06","n/a"
"EDNRB","1910","NP_000106.1","7tm_1","7 transmembrane receptor (rhodopsin family)","Family","CL0192","118","387","118","384","1","255","143.40","5.40E-42","n/a"
"EDNRB","1910","NP_001116131.1","7tm_1","7 transmembrane receptor (rhodopsin family)","Family","CL0192","118","387","118","384","1","255","143.40","5.40E-42","n/a"
"EDNRB","1910","NP_001188326.1","7tm_1","7 transmembrane receptor (rhodopsin family)","Family","CL0192","208","477","208","474","1","255","142.70","8.80E-42","n/a"
"EFEMP1","2202","NP_001034437.1","EGF_CA","Calcium-binding EGF domain","Domain","CL0001","44","85","44","71","1","28","29.80","3.50E-07","n/a"
"EFEMP1","2202","NP_001034437.1","EGF_CA","Calcium-binding EGF domain","Domain","CL0001","173","212","173","212","1","42","50.60","1.10E-13","n/a"
"EFEMP1","2202","NP_001034437.1","cEGF","Complement Clr-like EGF-like","Domain","CL0001","234","257","234","257","1","24","34.80","7.70E-09","n/a"
"EFEMP1","2202","NP_001034437.1","cEGF","Complement Clr-like EGF-like","Domain","CL0001","274","297","274","297","1","24","31.40","8.70E-08","n/a"
"EFEMP1","2202","NP_001034437.1","cEGF","Complement Clr-like EGF-like","Domain","CL0001","315","337","316","337","2","24","27.60","1.30E-06","n/a"
"EFEMP1","2202","NP_001034438.1","EGF_CA","Calcium-binding EGF domain","Domain","CL0001","44","85","44","71","1","28","29.80","3.50E-07","n/a"
"EFEMP1","2202","NP_001034438.1","EGF_CA","Calcium-binding EGF domain","Domain","CL0001","173","212","173","212","1","42","50.60","1.10E-13","n/a"
"EFEMP1","2202","NP_001034438.1","cEGF","Complement Clr-like EGF-like","Domain","CL0001","234","257","234","257","1","24","34.80","7.70E-09","n/a"
"EFEMP1","2202","NP_001034438.1","cEGF","Complement Clr-like EGF-like","Domain","CL0001","274","297","274","297","1","24","31.40","8.70E-08","n/a"
"EFEMP1","2202","NP_001034438.1","cEGF","Complement Clr-like EGF-like","Domain","CL0001","315","337","316","337","2","24","27.60","1.30E-06","n/a"
"EFHA2","286097","NP_859074.1","efhand","EF hand","Domain","CL0220","236","264","237","258","2","23","16.90","0.0022","n/a"
"EFHA2","286097","NP_859074.1","efhand","EF hand","Domain","CL0220","474","502","476","501","3","28","21.90","5.50E-05","n/a"
"EFNB2","1948","NP_004084.1","Ephrin","Ephrin","Family","CL0026","25","166","29","166","5","146","188.60","3.10E-56","n/a"
"EFS","10278","NP_005855.1","SH3_1","SH3 domain","Domain","CL0010","11","60","11","60","1","48","42.90","1.80E-11","n/a"
"EFS","10278","NP_005855.1","DUF3513","Domain of unknown function (DUF3513)","Family","n/a","364","557","365","556","2","210","204.60","9.90E-61","n/a"
"EFS","10278","NP_115835.1","DUF3513","Domain of unknown function (DUF3513)","Family","n/a","271","464","272","463","2","210","205.20","6.70E-61","n/a"
