"Gene_Name","Gene_ID","Protein_ID","mRNA_ID","CCDS_ID","Trembl_ID","SwissProt_ID"
"GAD1","2571","NP_000808.2","NM_000817.2","CCDS2239.1","Q8IVA8","Q99259"
"GAD1","2571","NP_038473.2","NM_013445.3","CCDS2240.1","-","Q99259"
"GADD45G","10912","NP_006696.1","NM_006705.3","CCDS6686.1","Q5VZ87","O95257"
"GAS6","2621","NP_000811.1","NM_000820.2","CCDS45072.1","-","Q14393"
"GAS6","2621","NP_001137417.1","NM_001143945.1 ","CCDS45073.1","B3KVL4","Q14393"
"GAS6","2621","NP_001137418.1","NM_001143946.1","CCDS45074.1","B3KRQ7; E9PBL7","Q14393"
"GCNT3","9245","NP_004742.1","NM_004751.2","CCDS10172.1","-","O95395"
"GLT8D2","83468","NP_112592.1","NM_031302.3","CCDS9096.1","-","Q9H1C3"
"GLTP","51228","NP_057517.1","NM_016433.3","CCDS9136.1","-","Q9NZD2"
"GNLY","10578","NP_006424.2","NM_006433.3","CCDS1984.1","-","P22749"
"GNLY","10578","NP_036615.2","NM_012483.2","CCDS46354.1","-","P22749"
"GP2","2813","NP_001007241.2","NM_001007240.1","CCDS42128.1","Q8N1A3","P55259"
"GP2","2813","NP_001007242.2","NM_001007241.1","CCDS45433.1","Q8N1A3","P55259"
"GP2","2813","NP_001007243.2","NM_001007242.1","CCDS45432.1","Q8N1A3","P55259"
"GP2","2813","NP_001493.2","NM_001502.2","CCDS10582.2","Q8N1A3","P55259"
"GPR133","283383","NP_942122.2","NM_198827.3","CCDS9272.1","B2CKK9; Q9NSM3","Q6QNK2"
"GSTP1","2950","NP_000843.1","NM_000852.3","CCDS41679.1","-","P09211"
"GZMA","3001","NP_006135.1","NM_006144.3","CCDS3965.1","-","P12544"
"HDAC2","3066","NP_001518.3","NM_001527.3","CCDS43493.2","-","Q92769"
"HGD","3081","NP_000178.2","NM_000187.3","CCDS3000.1","-","Q93099"
"HIF1A","3091","NP_001521.1","NM_001530.3","CCDS9753.1","D0VY79","Q16665"
"HIF1A","3091","NP_851397.1","NM_181054.2","CCDS9754.1","-","Q16665"
"HKDC1","80201","NP_079406.3","NM_025130.3","CCDS7288.1","B3KT70","Q2TB90"
"HMGB1","3146","NP_002119.1","NM_002128.4","CCDS9335.1","-","P09429"
"HOXA10","3206","NP_061824.3","NM_018951.3","CCDS5410.2","-","P31260"
"HOXA11","3207","NP_005514.1","NM_005523.5","CCDS5411.1","-","P31270"
"HP","3240","NP_001119574.1","NM_001126102.1","CCDS45525.1","Q6PEJ8","P00738"
"HP","3240","NP_005134.1","NM_005143.3","CCDS45524.1","Q6PEJ8","P00738"
"HSPA8","3312","NP_006588.1","NM_006597.3","CCDS8440.1","B3KTV0","P11142"
"HSPA8","3312","NP_694881.1","NM_153201.1","CCDS44754.1","B3KTV0","P11142"
"HTR1B","3351","NP_000854.1","NM_000863.1","CCDS4986.1","-","P28222"
"HTRA1","5654","NP_002766.1","NM_002775.4","CCDS7630.1","-","Q92743"
"HTRA2","27429","NP_037379.1","NM_013247.4","CCDS1951.1","-","O43464"
"HTRA2","27429","NP_659540.1","NM_145074.2","CCDS1952.1","-","O43464"
"HTRA3","94031","NP_444272.1","NM_053044.3","CCDS3400.1","-","P83110"
"HYAL1","3373","NP_009296.1","NM_007312.3","CCDS2816.1","-","Q12794"
"HYAL1","3373","NP_149349.2","NM_033159.2","CCDS2816.1","-","Q12794"
"HYAL1","3373","NP_695013.1","NM_153281.1","CCDS2816.1","-","Q12794"
"HYAL1","3373","NP_695014.1","NM_153282.1","CCDS2817.1","B3KUI5","Q12794"
"HYAL1","3373","NP_695015.1","NM_153283.1","CCDS46832.1","-","Q12794"
"HYAL1","3373","NP_695017.1","NM_153285.1","CCDS46833.1","-","Q12794"
"HYAL2","8692","NP_003764.3","NM_003773.4","CCDS2818.1","B3KRZ2","Q12891"
"HYAL2","8692","NP_149348.2","NM_033158.4","CCDS2818.1","B3KRZ2","Q12891"
"ID4","3400","NP_001537.1","NM_001546.2","CCDS4544.1","-","P47928"
"IFIT4","3437","NP_001026853.1","NM_001031683.2","CCDS31241.1","Q5T765","O14879"
"IFIT4","3437","NP_001540.2","NM_001549.4","CCDS7402.1","O14879","Q5T765"
"IGF1","3479","NP_000609.1","NM_000618.3","CCDS9091.1","Q59GC5; Q5U743","P05019"
"IGF1","3479","NP_001104753.1","NM_001111283.1","CCDS44961.1","E9PD02; Q13429","-"
"IGF1","3479","NP_001104754.1","NM_001111284.1","CCDS44960.1","Q14620","-"
"IGF1","3479","NP_001104755.1","NM_001111285.1","CCDS44962.1","-","P05019"
"IGF2","3481","NP_000603.1","NM_000612.4","CCDS7728.1","-","P01344"
"IGF2","3481","NP_001007140.2","NM_001007139.4","CCDS7728.1","-","P01344"
"IGF2","3481","NP_001121070.1","NM_001127598.1","CCDS44517.1","C9JAF2","-"
"IGF2BP2","10644","NP_001007226.1","NM_001007225.1","CCDS33903.1","-","Q9Y6M1"
"IGF2BP2","10644","NP_006539.3","NM_006548.4","CCDS3273.2","-","Q9Y6M1"
"IGF2BP3","10643","NP_006538.2","NM_006547.2","CCDS5382.1","-","O00425"
"IGFBP1","3484","NP_000587.1","NM_000596.2","CCDS5504.1","C1K3N3","P08833"
"IGFBP3","3486","NP_000589.2","NM_000598.4","CCDS5505.1","B3KPF0","P17936"
"IGFBP3","3486","NP_001013416.1","NM_001013398.1","CCDS34632.1","-","P17936"
"IGFBP6","3489","NP_002169.1","NM_002178.2","CCDS8846.1","-","P24592"
"IGJ","3512","NP_653247.1","NM_144646.3","CCDS3545.1","-","P01591"
"IL11","3589","NP_000632.1","NM_000641.2","CCDS12923.1","A8K3F7","P20809"
"IL20RA","53832","NP_055247.2","NM_014432.2","CCDS5181.1","-","Q9UHF4"
"IL8","3576","NP_000575.1","NM_000584.3","CCDS34005.1","-","P10145"
"INPP5F","22876","NP_055752.1","NM_014937.2","CCDS7616.1","-","Q9Y2H2"
"IP6K1","9807","NP_001006115.1","NM_001006115.2","CCDS43092.1","A8MUX4","Q92551"
"IP6K1","9807","NP_695005.1","NM_153273.3","CCDS33760.1","-","Q92551"
"ITGAV","3685","NP_001138471.1","NM_001144999.1","CCDS46471.1","B7Z883","-"
"ITGAV","3685","NP_001138472.1","NM_001145000.1","CCDS46470.1","B7ZLX0","P06756"
"ITGAV","3685","NP_002201.1","NM_002210.3","CCDS2292.1","-","P06756"
"ITPKC","80271","NP_079470.1","NM_025194.2","CCDS12563.1","-","Q96DU7"
"JPH4","84502","NP_001139500.1","NM_001146028.1","CCDS9603.1","-","Q96JJ6"
"JPH4","84502","NP_115828.2","NM_032452.2","CCDS9603.1","-","Q96JJ6"
"KANK4","163782","NP_859063.3","NM_181712.4","CCDS620.1","-","Q5T7N3"
"KIAA1324","57535","NP_065826.2","NM_020775.3","CCDS794.1","B4DWM4","Q6UXG2"
"KIF1A","547","NP_004312.2","NM_004321.4","CCDS46561.1","-","Q12756"
"KIF26A","26153","NP_056471.1","NM_015656.1","CCDS45171.1","-","Q9ULI4"
"KLK10","5655","NP_001070968.1","NM_001077500.1","CCDS12817.1","-","O43240"
"KLK10","5655","NP_002767.2","NM_002776.4","CCDS12817.1","-","O43240"
"KLK10","5655","NP_665895.1","NM_145888.2","CCDS12817.1","-","O43240"
"KLK6","5653","NP_001012982.1","NM_001012964.1","CCDS12811.1","-","Q92876"
"KLK6","5653","NP_001012983.1","NM_001012965.1","CCDS42599.1","-","Q92876"
"KLK6","5653","NP_002765.1","NM_002774.3","CCDS12811.1","-","Q92876"
"KLRT32","3882","NP_002269.3","NM_002278.3","CCDS11393.1","-","Q14532"
"KRAS","3845","NP_004976.2","NM_004985.3","CCDS8702.1","-","P01116"
"KRAS","3845","NP_203524.1","NM_033360.2","CCDS8703.1","-","P01116"
"KYNU","8942","NP_001028170.1","NM_001032998.1","CCDS33299.1","Q9BVW3","-"
"KYNU","8942","NP_001186170.1","NM_001199241.1","-","-","Q16719"
"KYNU","8942","NP_003928.1","NM_003937.2","CCDS2183.1","-","Q16719"
"LAMB1","3912","NP_002282.2","NM_002291.2","CCDS5750.1","Q8TAS6","P07942"
"LCN2","3934","NP_005555.2","NM_005564.3","CCDS6892.1","-","P80188"
"LDB2","9079","NP_001124306.1","NM_001130834.1","CCDS47031.1","-","O43679"
"LDB2","9079","NP_001281.1","NM_001290.3","CCDS3420.1","-","O43679"
"LGALS3","3958","NP_001170859.1","NM_001177388.1","-","-","-"
"LGALS3","3958","NP_002297.2","NM_002306.3","CCDS41956.1","-","P17931"
"LIMS1","3987","NP_001180411.1","NM_001193482.1","CCDS54383.1","-","-"
"LIMS1","3987","NP_001180412.1","NM_001193483.1","CCDS54382.1","B7Z483","-"
"LIMS1","3987","NP_001180413.1","NM_001193484.1","CCDS54384.1","B7Z907","-"
"LIMS1","3987","NP_001180414.1","NM_001193485.1","CCDS54385.1","B7Z7R3","-"
"LIMS1","3987","NP_001180417.1","NM_001193488.1","CCDS2078.1","-","P48059"
"LIMS1","3987","NP_004978.2","NM_004987.4","CCDS2078.1","-","P48059"
"LMOD1","25802","NP_036266.2","NM_012134.2","CCDS53457.1","-","P29536"
"LOX","4015","NP_001171573.1","NM_001178102.1","-","B7ZAJ4","-"
"LOX","4015","NP_002308.2","NM_002317.5","CCDS4129.1","D0PNI2","P28300"
"LOXL3","84695","NP_115992.1","NM_032603.2","CCDS1953.1","-","P58215"
"LRCH2","57631","NP_065922.3","NM_020871.3","CCDS48155.1","-","Q5VUJ6"
"LRP1","4035","NP_002323.2","NM_002332.2","CCDS8932.1","Q59FG2","Q07954"
"LRRN1","57633","NP_065924.3","NM_020873.5","CCDS33685.1","-","Q6UXK5"
"LTBP4","8425","NP_001036009.1","NM_001042544.1","","B3KXY6","Q8N2S1"
"LTBP4","8425","NP_001036010.1","NM_001042545.1","","B3KXY6","Q8N2S1"
"LTBP4","8425","NP_003564.2 ","NM_003573.2","","B3KXY6","Q8N2S1"
"MAPRE1","22919","NP_036457.1","NM_012325.2","CCDS13208.1","-","Q15691"
"MARCO","8685","NP_006761.1","NM_006770.3","CCDS2124.1","Q4ZG40","Q9UEW3"
"MASP1","5648","NP_001027019.1","NM_001031849.2","CCDS33909.1","-","P48740"
"MASP1","5648","NP_001870.3","NM_001879.5","CCDS33907.1","-","P48740"
"MASP1","5648","NP_624302.1","NM_139125.3","CCDS33908.1","-","P48740"
"MDM2","4193","NP_002383.2","NM_002392.3","CCDS8986.2","-","Q00987"
"MED13L","23389","NP_056150.1","NM_015335.4","CCDS9177.1","-","Q71F56"
"MEG3","55384","-","-","-","-","-"
"MGC16121","84848","-","NM_032762.2","-","-","-"
"MLH1","4292","NP_000240.1","NM_000249.3","CCDS2663.1","Q5GJ64","P40692"
"MLH1","4292","NP_001161089.1","NM_001167617.1","CCDS54562.1","E9PCU2; B4DQ11","P40692"
"MLH1","4292","NP_001161090.1","NM_001167618.1","CCDS54563.1","B4DI13","P40692"
"MLH1","4292","NP_001161091.1","NM_001167619.1","CCDS54563.1","B4DI13","P40692"
"MLH3","27030","NP_001035197.1","NM_001040108.1","CCDS32123.1","-","Q9UHC1"
"MLH3","27030","NP_055196.2","NM_014381.2","CCDS9837.1","Q2M1Z1","-"
"MME","4311","NP_000893.2","NM_000902.3","CCDS3172.1","-","P08473"
"MME","4311","NP_009218.2","NM_007287.2","CCDS3172.1","-","P08473"
"MME","4311","NP_009219.2","NM_007288.2","CCDS3172.1","-","P08473"
"MME","4311","NP_009220.2","NM_007289.2","CCDS3172.1","-","P08473"
"MMP10","4319","NP_002416.1","NM_002425.2","CCDS8321.1","-","P09238"
"MMP26","56547","NP_068573.2","NM_021801.3","CCDS7752.1","-","Q9NRE1"
"MMP7","4316","NP_002414.1","NM_002423.3 ","CCDS8317.1","-","P09237"
"MMP9","4318","NP_004985.2","NM_004994.2","CCDS13390.1","-","P14780"
"MRPL3","11222","NP_009139.1","NM_007208.3","CCDS3071.1","-","P09001"
"MS4A6","64231","NP_071744.2","NM_022349.2","CCDS44615.1","-","Q9H2W1"
"MS4A6","64231","NP_690590.1","NM_152851.1","CCDS44616.1","-","Q9H2W1"
"MS4A6","64231","NP_690591.1","NM_152852.1","CCDS7981.1","-","Q9H2W1"
"MSX2","4488","NP_002440.2","NM_002449.4","CCDS4392.1","-","P35548"
"MT1E","4493","NP_783316.2","NM_175617.3","CCDS10764.2","-","P04732"
"MTHFR","4524","NP_005948.3","NM_005957.4","CCDS137.1","Q59GJ6; Q8IU67","P42898"
"MUM1L1","139221","NP_001164491.1","NM_001171020.1","CCDS55469.1","-","Q5H9M0"
"MUM1L1","139221","NP_689636.3","NM_152423.4","CCDS55469.1","-","Q5H9M0"
"MVD","4597","NP_002452.1","NM_002461.1","CCDS10968.1","-","P53602"
"NCOA3","8202","NP_001167558.1","NM_001174087.1","-","Q59EE8","-"
"NCOA3","8202","NP_001167559.1","NM_001174088.1","CCDS54472.1","-","Q9Y6Q9"
"NCOA3","8202","NP_006525.2","NM_006534.3","CCDS13406.1","-","Q9Y6Q9"
"NCOA3","8202","NP_858045.1","NM_181659.2","CCDS13407.1","-","Q9Y6Q9"
"NDC80","10403","NP_006092.1","NM_006101.2","CCDS11827.1","A8K031","O14777"
"NDN","4692","NP_002478.1","NM_002487.2","CCDS10014.1","-","Q99608"
"NDRG1","10397","NP_001128714.1","NM_001135242.1","CCDS34945.1","-","Q92597"
"NDRG1","10397","NP_006087.2","NM_006096.3","CCDS34945.1","-","Q92597"
"NDUFA2","4695","NP_001171941.1","NM_001185012.1","CCDS54911.1","D6RJD6","-"
"NDUFA2","4695","NP_002479.1","NM_002488.4","CCDS4234.1","-","O43678"
"NFE2L2","4780","NP_001138884.1","NM_001145412.1","CCDS46457.1","-","Q16236"
"NFE2L2","4780","NP_001138885.1","NM_001145413.1","CCDS46458.1","E9PGJ7; B4E338","Q16236"
"NFE2L2","4780","NP_006155.2","NM_006164.3","CCDS42782.1","-","Q16236"
"NFIB","4781","NP_001177666.1","NM_001190737.1","CCDS55291.1","Q5VW29","-"
"NFIB","4781","NP_001177667.1","NM_001190738.1","CCDS55292.1","Q6ZNF9","-"
"NFIB","4781","NP_005587.2","NM_005596.3","CCDS6474.1","Q5VW28","O00712"
"NFKB1","4790","NP_001158884.1","NM_001165412.1","CCDS54783.1","-","P19838"
"NFKB1","4790","NP_003989.2","NM_003998.3","CCDS3657.1","-","P19838"
"NGFRAP1","27018","NP_055195.1","NM_014380.1","CCDS14508.1","-","Q00994"
"NGFRAP1","27018","NP_996798.1","NM_206915.1","CCDS14508.1","-","Q00994"
"NGFRAP1","27018","NP_996800.1","NM_206917.1","CCDS14509.1","-","Q00994"
"NID1","4811","NP_002499.2","NM_002508.2","CCDS1608.1","-","P14543"
"NKX2-1","7080","NP_001073136.1","NM_001079668.2","CCDS41945.1","-","P43699"
"NKX2-1","7080","NP_003308.1","NM_003317.3","CCDS9659.1","-","P43699"
"NME1","4830","NP_000260.1","NM_000269.2","CCDS11579.1","-","P15531"
"NME1","4830","NP_937818.1","NM_198175.1","CCDS11578.1","-","P15531"
"NME2","4831","NP_001018147.1","NM_001018137.2","CCDS11580.1","Q6FHN3","P22392"
"NME2","4831","NP_001018148.1","NM_001018138.1","CCDS11580.1","Q6FHN3","P22392"
"NME2","4831","NP_001018149.1","NM_001018139.2","CCDS11580.1","Q6FHN3","P22392"
"NME2","4831","NP_001185611.1","NM_001198682.1","-","-","-"
"NME2","4831","NP_002503.1","NM_002512.3","CCDS11580.1","Q6FHN3","P22392"
"NPDC1","56654","NP_056207.3","NM_015392.3","CCDS7024.1","-","Q9NQX5"
"NPR1","4881","NP_000897.3","NM_000906.3","CCDS1051.1","-","P16066"
"NPTX1","4884","NP_002513.2","NM_002522.3","CCDS32762.1","-","Q15818"
"NR3C1","2908","NP_000167.1","NM_000176.2","CCDS4278.1","-","P04150"
"NR3C1","2908","NP_001018084.1","NM_001018074.1","CCDS4278.1","-","P04150"
"NR3C1","2908","NP_001018085.1","NM_001018075.1","CCDS4278.1","-","P04150"
"NR3C1","2908","NP_001018086.1","NM_001018076.1","CCDS4278.1","-","P04150"
"NR3C1","2908","NP_001018087.1","NM_001018077.1","CCDS4278.1","-","P04150"
"NR3C1","2908","NP_001018661.1","NM_001020825.1","CCDS47298.1","E5KQF5","P04150"
"NR3C1","2908","NP_001019265.1","NM_001024094.1","CCDS34258.1","E5KQF6","P04150"
"NR3C1","2908","NP_001191187.1","NM_001204258.1","-","-","P04150"
"NR3C1","2908","NP_001191188.1","NM_001204259.1","-","-","P04150"
"NR3C1","2908","NP_001191189.1","NM_001204260.1","-","-","P04150"
"NR3C1","2908","NP_001191190.1","NM_001204261.1","-","-","P04150"
"NR3C1","2908","NP_001191191.1","NM_001204262.1","-","-","P04150"
"NR3C1","2908","NP_001191192.1","NM_001204263.1","-","-","P04150"
"NR3C1","2908","NP_001191193.1","NM_001204264.1","-","-","P04150"
"NR3C1","2908","NP_001191194.1","NM_001204265.1","-","-","P04150"
"NSDHL","50814","NP_001123237.1","NM_001129765.1","CCDS14717.1","-","Q15738"
"NSDHL","50814","NP_057006.1","NM_015922.2","CCDS14717.1","-","Q15738"
"NT5E","4907","NP_001191742.1","NM_001204813.1","-","B3KQI8","-"
"NT5E","4907","NP_002517.1","NM_002526.3","CCDS5002.1","-","P21589"
"NUP107","57122","NP_065134.1","NM_020401.2","CCDS8985.1","-","P57740"
"OGN","4969","NP_054776.1","NM_014057.3","CCDS6695.","A8K0R3; Q7Z532","P20774"
"OGN","4969","NP_148935.1","NM_033014.2","CCDS6695.1","A8K0R3; Q7Z532","P20774"
"OLFM1","10439","NP_006325.1","NM_006334.3","CCDS6987.1","Q6IMJ7","Q99784"
"OLFM1","10439","NP_055094.1","NM_014279.4","CCDS6986.1","Q6IMJ8","Q99784"
"OSR2","116039","NP_001135934.1","NM_001142462.1","CCDS47901.1","-","Q8N2R0"
"OSR2","116039","NP_443727.2","NM_053001.2","CCDS47902.1","-","Q8N2R0"
"P2RY14","9934","NP_001074924.1","NM_001081455.1","CCDS3156.1","A5JUU3","Q15391"
"P2RY14","9934","NP_055694.3","NM_014879.3","CCDS3156.1","A5JUU3","Q15391"
"PA2G4","5036","NP_006182.2","NM_006191.2","CCDS8902.1","-","Q9UQ80"
"PAFAHIB3","5050","NP_001139411.1","NM_001145939.1","CCDS12602.1","-","Q15102"
"PAFAHIB3","5050","NP_001139412.1","NM_001145940.1","CCDS12602.1","-","Q15102"
"PAFAHIB3","5050","NP_002564.1","NM_002573.3","CCDS12602.1","-","Q15102"
"PAK3","5063","NP_001121638.1","NM_001128166.1","CCDS14554.1","B2RCU6","O75914"
"PAK3","5063","NP_001121639.1","NM_001128167.1","CCDS14554.1","-","O75914"
"PAK3","5063","NP_001121640.1","NM_001128168.1","CCDS48151.1","B1GX79","O75914"
"PAK3","5063","NP_001121644.1","NM_001128172.1","CCDS48152.1","B1GX78; B1GX79","O75914"
"PAK3","5063","NP_001121645.1","NM_001128173.1","CCDS48153.1","B1GX77; B1GX79","O75914"
"PAK3","5063","NP_002569.1","NM_002578.3","CCDS14554.1","-","O75914"
"PAPPA","5069","NP_002572.2","NM_002581.3","CCDS6813.1","Q7Z613; Q86YM8; Q8IWT8","Q13219"
"PARM1","25849","NP_056208.2","NM_015393.3","CCDS47077.1","-","Q6UWI2"
"PARP1","142","NP_001609.2","NM_001618.3","CCDS1554.1","-","P09874"
"PAWR","5074","NP_002574.2","NM_002583.2","CCDS31863.1","-","Q96IZ0"
"PDGFRA","5156","NP_006197.1","NM_006206.4","CCDS3495.1","-","P16234"
"PDYN","5173","NP_001177821.1","NM_001190892.1","CCDS13023.1","-","P01213"
"PDYN","5173","NP_001177827.1","NM_001190898.2","CCDS13023.1","-","P01213"
"PDYN","5173","NP_001177828.1","NM_001190899.2","CCDS13023.1","-","P01213"
"PDYN","5173","NP_001177829.1","NM_001190900.1","CCDS13023.1","-","P01213"
"PDYN","5173","NP_077722.1","NM_024411.4","CCDS13023.1","-","P01213"
"PEG3","5178","NP_001139656.1","NM_001146184.1","CCDS12948.1","B4DIM4","Q9GZU2"
"PEG3","5178","NP_001139657.1","NM_001146185.1","-","B4DIM4","Q9GZU2"
"PEG3","5178","NP_001139658.1","NM_001146186.1","CCDS12948.1","-","Q9GZU2"
"PEG3","5178","NP_001139659.1","NM_001146187.1","-","A7E2B8; B4DIM4; Q96Q96","Q9GZU2"
"PEG3","5178","NP_006201.1","NM_006210.2","CCDS12948.1","B4DIM4","Q9GZU2"
"PGGT1B","5229","NP_005014.2","NM_005023.3","CCDS4116.1","-","P53609"
"PGR","5241","NP_000917.3","NM_000926.4","CCDS8310.1","-","P06401"
"PGR","5241","NP_001189403.1","NM_001202474.1","-","-","P06401"
"PID1","55022","NP_001094288.1","NM_001100818.1","CCDS42830.1","-","Q7Z2X4"
"PID1","55022","NP_060403.3","NM_017933.4","CCDS2471.1","-","Q7Z2X4"
"PITX1","5307","NP_002644.4","NM_002653.4","CCDS4182.1","-","P78337"
"PLA2G4A","5321","NP_077734.1","NM_024420.2","CCDS1372.1","-","P47712"
"PLAG1","5324","NP_001108106.1","NM_001114634.1","CCDS6165.1","-","Q6DJT9"
"PLAG1","5324","NP_001108107.1","NM_001114635.1","CCDS47860.1","B4DLC2","-"
"PLAG1","5324","NP_002646.2","NM_002655.2","CCDS6165.1","-","Q6DJT9"
"PLAU","5328","NP_001138503.1","NM_001145031.1","CCDS44442.1","Q59GZ8","P00749"
"PLAU","5328","NP_002649.1","NM_002658.3","CCDS7339.1","Q59GZ8","P00749"
"PLAUR","5329","NP_001005376.1","NM_001005376.2","CCDS33041.1","-","Q03405"
"PLAUR","5329","NP_001005377.1","NM_001005377.2","CCDS33042.1","-","Q03405"
"PLAUR","5329","NP_002650.1","NM_002659.3","CCDS12628.1","-","Q03405"
"PLEKHH2","130271","NP_742066.2","NM_172069.3","CCDS1812.1","-","Q8IVE3"
"POLE3","54107","NP_059139.3","NM_017443.4","CCDS6795.1","-","Q9NRF9"
"POLR2H","5437","NP_006223.2","NM_006232.2","CCDS3264.1","-","P52434"
"POM121","9883","NP_742017.1","NM_172020.2","CCDS5542.1","-","Q96HA1"
"PPAP2C","8612","NP_003703.1","NM_003712.2","CCDS12023.1","-","O43688"
"PPAP2C","8612","NP_803545.1","NM_177526.1","CCDS45889.1","E9PAY8","O43688"
"PPAP2C","8612","NP_808211.1","NM_177543.1","CCDS12024.1","-","O43688"
"PPM1D","8493","NP_003611.1","NM_003620.3","CCDS11625.1","Q6P991","O15297"
"PPPDE1","51029","NP_057160.2","NM_016076.3","CCDS1626.1","-","Q9BSY9"
"PRKAR1B","5575","NP_001158230.1","NM_001164758.1","CCDS34579.1","-","P31321"
"PRKAR1B","5575","NP_001158231.1","NM_001164759.1","CCDS34579.1","-","P31321"
"PRKAR1B","5575","NP_001158232.1","NM_001164760.1","CCDS34579.1","-","P31321"
"PRKAR1B","5575","NP_001158233.1","NM_001164761.1","CCDS34579.1","-","P31321"
"PRKAR1B","5575","NP_001158234.1","NM_001164762.1","CCDS34579.1","-","P31321"
"PRKAR1B","5575","NP_002726.1","NM_002735.2","CCDS34579.1","-","P31321"
"PRKCA","5578","NP_002728.1","NM_002737.2","CCDS11664.1","B5BU22; Q7Z727","P17252"
"PRKCD","5580","NP_006245.2","NM_006254.3","CCDS2870.1","-","Q05655"
"PRKCD","5580","NP_997704.1","NM_212539.1","CCDS2870.1","-","Q05655"
"PSMA3","5684","NP_002779.1","NM_002788.3","CCDS9731.1","-","P25788"
"PSMA3","5684","NP_687033.1","NM_152132.2","CCDS45113.1","-","P25788"
"PTEN","5728","NP_000305.3","NM_000314.4","CCDS31238.1","-","P60484"
"PTGS1","5742","NP_000953.2","NM_000962.2","CCDS6842.1","-","P23219"
"PTGS1","5742","NP_542158.1","NM_080591.1","CCDS6843.1","-","P23219"
"PTGS2","5743","NP_000954.1","NM_000963.2","CCDS1371.1","-","P35354"
"PTPRC","5788","NP_002829.2","NM_002838.3","CCDS1397.1","-","P08575"
"PTPRC","5788","NP_563578.1","NM_080921.2","CCDS1398.1","-","P08575"
"PTPRC","5788","NP_563580.1","NM_080923.2","CCDS44291.1","Q0VAE8","-"
"PYCARD","29108","NP_037390.2","NM_013258.4","CCDS10708.1","-","Q9ULZ3"
"PYCARD","29108","NP_660183.1","NM_145182.2","CCDS10709.1","-","Q9ULZ3"
"RAB2A","5862","NP_002856.1","NM_002865.1","CCDS6175.1","-","P61019"
"RAD51","5888","NP_001157741.1","NM_001164269.1","CCDS53931.1","Q6ZNA8","-"
"RAD51","5888","NP_001157742.1","NM_001164270.1","CCDS53932.1","B0FXP0","Q06609"
"RAD51","5888","NP_002866.2","NM_002875.4","CCDS10062.1","B0FXP0","Q06609"
"RAD51","5888","NP_597994.3","NM_133487.3","CCDS53931.1","B0FXP0","Q6ZNA8"
"RAMP1","10267","NP_005846.1","NM_005855.2","CCDS2522.1","-","O60894"
"RARRES1","5918","NP_002879.2","NM_002888.2","CCDS54665.1","-","P49788"
"RARRES1","5918","NP_996846.1","NM_206963.1","CCDS3184.1","-","P49788"
"RASGEF1A","221002","NP_660356.2","NM_145313.2","CCDS7202.2","-","Q8N9B8"
"RASSF1","11186","NP_009113.3","NM_007182.4","CCDS43096.1","-","Q9NS23"
"RASSF1","11186","NP_733830.1","NM_170712.2","CCDS2822.1","-","Q9NS23"
"RASSF1","11186","NP_733831.1","NM_170713.2","CCDS2821.1","Q5TZT2","Q9NS23"
"RASSF1","11186","NP_733832.1","NM_170714.1","CCDS2820.1","-","Q9NS23"
"RASSF2","9770","NP_055552.1","NM_014737.2","CCDS13083.1","-","P50749"
"RASSF2","9770","NP_739580.1","NM_170774.1","CCDS13083.1","-","P50749"
"RASSF6","166824","NP_803876.1","NM_177532.3","CCDS3559.1","-","Q6ZTQ3"
"RASSF6","166824","NP_958834.1","NM_201431.1","CCDS3558.1","-","Q6ZTQ3"
"RBP1","5947","NP_001124464.1","NM_001130992.1","CCDS46926.1","-","-"
"RBP1","5947","NP_001124465.1","NM_001130993.1","CCDS46925.1","E7EWV0","-"
"RBP1","5947","NP_002890.2","NM_002899.3","CCDS3110.2","-","P09455"
"RBP7","116362","NP_443192.1","NM_052960.2","CCDS109.1","-","Q96R05"
"RHOC","389","NP_001036143.1","NM_001042678.1","CCDS854.1","-","P08134"
"RHOC","389","NP_001036144.1","NM_001042679.1","CCDS854.1","-","P08134"
"RHOC","389","NP_786886.1","NM_175744.4","CCDS854.1","-","P08134"
"RNF213","57674","NP_065965.4","NM_020914.4","CCDS32761.2","-","-"
"RNF213","57674","NP_066005.2","NM_020954.2","CCDS11772.1","-","Q9HCF4"
"RORB","6096","NP_008845.2","NM_006914.3","CCDS6646.1","Q58EY0","Q92753"
"RP54X","6191","NP_000998.1","NM_001007.4","CCDS14418.1","B2R491","P62701"
"RPS6KB1","6198","NP_003152.1","NM_003161.2","CCDS11621.1","-","P23443"
"RPS6KB2","6199","NP_003943.2","NM_003952.2","CCDS41677.1","-","Q9UBS0"
"RUNX1","861","NP_001001890.1","NM_001001890.2","CCDS42922.1","-","Q01196"
"RUNX1","861","NP_001116079.1","NM_001122607.1","CCDS46646.1","-","Q01196"
"RUNX1","861","NP_001745.2","NM_001754.4","CCDS13639.1","-","Q01196"
"RUNX1T1","862","NP_001185554.1","NM_001198625.1","-","B2R6I9","Q06455"
"RUNX1T1","862","NP_001185555.1","NM_001198626.1","-","Q7Z4J5","Q06455"
"RUNX1T1","862","NP_001185556.1","NM_001198627.1","-","Q7Z4J5","Q06455"
"RUNX1T1","862","NP_001185557.1","NM_001198628.1","-","Q7Z4J5","Q06455"
"RUNX1T1","862","NP_001185558.1","NM_001198629.1","-","Q7Z4J5","Q06455"
